# Force and moment coefficients
# dragDir       : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# sideDir       : (7.07106781e-01 0.00000000e+00 -7.07106781e-01)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# pitchAxis     : (7.07106781e-01 0.00000000e+00 -7.07106781e-01)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 2.40048000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	2.07645031e+01	1.04108117e+01	1.03536914e+01	-3.43542948e-01	-1.25375171e-01	-2.18167777e-01	4.63963033e-02	2.85601289e-02	-2.20340446e-01	-7.62403338e+00	-4.03235714e+00	-3.59167625e+00
20              	-4.29644619e+00	-2.11460949e+00	-2.18183670e+00	2.20774072e-02	5.74562374e-02	-3.53788302e-02	4.64175338e-02	3.36136054e-02	-2.68999764e-02	1.47077708e+00	7.08488562e-01	7.62288515e-01
30              	7.00961786e-01	3.59426301e-01	3.41535485e-01	-2.31375561e-02	-8.55077086e-03	-1.45867852e-02	3.01800717e-03	8.94540802e-03	-8.07719573e-03	-1.39026988e+00	-7.03212136e-01	-6.87057744e-01
40              	1.21198755e+00	6.01652043e-01	6.10335511e-01	6.51969049e-02	1.56235834e-02	4.95733216e-02	-1.69748691e-02	-4.34173420e-03	-1.42545243e-02	-1.38907673e+00	-7.08792887e-01	-6.80283839e-01
50              	1.17942760e+00	5.68762550e-01	6.10665047e-01	8.36810521e-02	1.59838168e-02	6.76972353e-02	-2.58567092e-02	-2.09512486e-02	-1.84420522e-02	-1.21240758e+00	-6.24645840e-01	-5.87761736e-01
60              	1.22992994e+00	6.17011298e-01	6.12918643e-01	4.47573428e-02	2.17392533e-02	2.30180896e-02	-6.39418139e-04	2.04632753e-03	-1.62478767e-02	-9.06186450e-01	-4.69341102e-01	-4.36845348e-01
70              	9.80274594e-01	4.85632469e-01	4.94642126e-01	3.47455644e-02	2.14722937e-02	1.32732708e-02	4.09951143e-03	-4.50482832e-03	-3.26740832e-03	7.75310047e-02	3.54980940e-02	4.20329107e-02
80              	1.00513193e+00	4.93052033e-01	5.12079900e-01	-2.12614132e-02	-5.98842380e-03	-1.52729894e-02	4.64228280e-03	-9.51393365e-03	-1.58345447e-03	-7.39000891e-02	-3.85334990e-02	-3.53665901e-02
90              	9.24148893e-01	4.58177328e-01	4.65971565e-01	-4.03642186e-02	-1.47848949e-02	-2.55793237e-02	5.39721444e-03	-3.89711879e-03	4.16222500e-03	-3.73482631e-01	-1.82579091e-01	-1.90903541e-01
100             	8.87420389e-01	4.47247307e-01	4.40173083e-01	-3.81229042e-02	-1.72242855e-02	-2.08986187e-02	1.83716661e-03	3.53711197e-03	-5.23492195e-03	-6.27412132e-01	-3.18940988e-01	-3.08471144e-01
110             	9.12319187e-01	4.62914725e-01	4.49404462e-01	-2.25559205e-02	-1.21673622e-02	-1.03885583e-02	-8.89401906e-04	6.75513160e-03	-1.76394919e-02	-6.56652252e-01	-3.45965618e-01	-3.10686634e-01
120             	8.72547089e-01	4.40429948e-01	4.32117141e-01	-3.45582943e-03	-3.53518779e-03	7.93583552e-05	-1.80727307e-03	4.15640350e-03	-9.49829293e-03	-4.30555112e-01	-2.24775849e-01	-2.05779263e-01
130             	8.56109334e-01	4.28461137e-01	4.27648197e-01	3.35125999e-02	1.46535479e-02	1.88590520e-02	-2.10275206e-03	4.06469814e-04	-6.65987125e-05	-2.78357270e-01	-1.39245234e-01	-1.39112036e-01
140             	8.56571989e-01	4.27229353e-01	4.29342636e-01	2.90747872e-02	1.34850182e-02	1.55897690e-02	-1.05237537e-03	-1.05664147e-03	-5.90320901e-03	-3.16571280e-01	-1.64188849e-01	-1.52382431e-01
150             	8.68721724e-01	4.31636628e-01	4.37085096e-01	1.45695221e-03	1.66517413e-03	-2.08221923e-04	9.36698028e-04	-2.72423409e-03	-1.07285323e-02	-3.95141252e-01	-2.08299158e-01	-1.86842094e-01
160             	8.73247496e-01	4.34139409e-01	4.39108087e-01	-8.31161301e-03	-4.59392572e-03	-3.71768729e-03	-4.38119218e-04	-2.48433897e-03	-1.18897924e-02	-4.18491110e-01	-2.21135347e-01	-1.97355763e-01
170             	8.64264605e-01	4.33847867e-01	4.30416738e-01	3.62776115e-04	2.73453168e-04	8.93229469e-05	9.20651104e-05	1.71556454e-03	-1.15996486e-02	-4.06899207e-01	-2.15049252e-01	-1.91849955e-01
180             	8.60816647e-01	4.32842233e-01	4.27974415e-01	5.74297695e-04	1.43102581e-03	-8.56728117e-04	1.14387696e-03	2.43390897e-03	-1.19570303e-02	-4.07045167e-01	-2.15479614e-01	-1.91565553e-01
190             	8.64212674e-01	4.32857611e-01	4.31355063e-01	-2.65905058e-03	7.35601534e-04	-3.39465211e-03	2.06512682e-03	7.51274044e-04	-1.13529885e-02	-4.18188418e-01	-2.20447197e-01	-1.97741220e-01
