# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	9.99999850e-01	6.04528260e-03	5	1.00000000e+00	5.70510220e-03	5	9.99999860e-01	6.05615540e-03	5	false	smoothSolver	1.00000000e+00	5.58205500e-03	5	true	smoothSolver	9.18396530e-02	9.01013280e-04	3	true	GAMG	1.00000000e+00	8.66145850e-03	13	true
2               	smoothSolver	5.16578200e-01	2.04671480e-03	5	8.93211660e-01	3.57493690e-03	5	4.53285860e-01	1.85730950e-03	5	false	smoothSolver	4.65064610e-01	3.60487890e-03	3	true	smoothSolver	8.72869820e-03	3.03639090e-05	4	true	GAMG	5.38665140e-01	3.72371670e-03	7	true
3               	smoothSolver	2.58766170e-02	2.39491210e-04	4	3.63432240e-01	3.41650680e-03	4	1.87433280e-02	1.74771930e-04	4	false	smoothSolver	5.05194940e-02	4.06375810e-04	3	true	smoothSolver	1.27516580e-02	1.11911750e-04	3	true	GAMG	6.78870070e-01	6.28687790e-03	7	true
4               	smoothSolver	1.02954540e-02	7.77116870e-05	4	1.51411390e-01	1.16728380e-03	4	7.09281820e-03	5.56438070e-05	4	false	smoothSolver	2.78953200e-02	2.45625960e-04	3	true	smoothSolver	1.24388500e-02	9.25427180e-05	3	true	GAMG	6.97414640e-01	4.06759480e-03	8	true
5               	smoothSolver	8.13357390e-03	4.24570620e-05	4	1.04942710e-01	5.51896740e-04	4	6.06081380e-03	3.12237360e-05	4	false	smoothSolver	1.75794700e-02	1.23649490e-04	3	true	smoothSolver	1.18509900e-02	7.69936190e-05	3	true	GAMG	5.69413480e-01	3.40437690e-03	8	true
6               	smoothSolver	1.86331400e-02	1.31013220e-04	4	2.32034520e-01	1.65164290e-03	4	1.46285250e-02	1.05700230e-04	4	false	smoothSolver	1.11678190e-02	6.68428970e-05	3	true	smoothSolver	8.36543410e-03	5.65746530e-05	3	true	GAMG	3.54783750e-01	2.51568160e-03	7	true
7               	smoothSolver	3.97367770e-02	3.21762370e-04	4	4.09746300e-01	3.35289060e-03	4	3.09313600e-02	2.64740660e-04	4	false	smoothSolver	8.57956580e-03	7.05919600e-05	3	true	smoothSolver	5.97493920e-03	4.76762850e-05	3	true	GAMG	3.80884110e-01	3.09709070e-03	6	true
8               	smoothSolver	1.82807760e-01	1.52419050e-03	4	3.51484880e-01	2.97097740e-03	4	2.98952980e-01	2.64516200e-03	4	false	smoothSolver	1.07049400e-02	9.60679520e-05	3	true	smoothSolver	6.01851780e-03	5.11794830e-05	3	true	GAMG	5.59746370e-01	3.34992460e-03	7	true
9               	smoothSolver	4.26208660e-02	3.25036260e-04	4	2.15768460e-01	1.67118710e-03	4	2.45200450e-02	2.01401230e-04	4	false	smoothSolver	9.79878440e-03	8.64722110e-05	3	true	smoothSolver	6.09352920e-03	4.49523290e-05	3	true	GAMG	6.09223720e-01	3.93460860e-03	7	true
10              	smoothSolver	2.15816080e-02	1.01938000e-04	4	1.38228970e-01	6.42649370e-04	4	1.19436970e-02	6.24038800e-05	4	false	smoothSolver	7.89712700e-03	6.03805980e-05	3	true	smoothSolver	6.26685190e-03	3.98405200e-05	3	true	GAMG	5.62423790e-01	3.54799520e-03	7	true
11              	smoothSolver	3.06152660e-02	1.66762180e-04	4	1.76222890e-01	9.37085300e-04	4	1.55019220e-02	8.48412980e-05	4	false	smoothSolver	6.51484140e-03	4.73189250e-05	3	true	smoothSolver	5.66047950e-03	3.68542680e-05	3	true	GAMG	4.26151680e-01	2.33989380e-03	7	true
12              	smoothSolver	7.86249970e-02	5.58321990e-04	4	2.32825160e-01	1.65982470e-03	4	3.53977960e-02	2.63589050e-04	4	false	smoothSolver	5.89678350e-03	4.81535840e-05	3	true	smoothSolver	4.56687770e-03	3.53377790e-05	3	true	GAMG	3.38930860e-01	1.90717780e-03	6	true
13              	smoothSolver	6.34425510e-02	4.90894100e-04	4	2.26112610e-01	1.76390950e-03	4	9.27978830e-02	7.72754400e-04	4	false	smoothSolver	5.64779690e-03	5.04671250e-05	3	true	smoothSolver	3.86015440e-03	3.27119940e-05	3	true	GAMG	3.99109750e-01	2.43036070e-03	6	true
14              	smoothSolver	2.24729840e-02	1.71940970e-04	4	1.64065260e-01	1.26424620e-03	4	2.01744820e-02	1.66427540e-04	4	false	smoothSolver	5.41980670e-03	4.97118620e-05	3	true	smoothSolver	3.59774670e-03	3.01115290e-05	3	true	GAMG	4.66279660e-01	3.38803000e-03	6	true
