# Force and moment coefficients
# dragDir       : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-7.07106781e-01 0.00000000e+00 7.07106781e-01)
# rollAxis      : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-7.07106781e-01 0.00000000e+00 7.07106781e-01)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 2.40048000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	2.07831525e+01	1.04247320e+01	1.03584205e+01	7.60946617e+00	3.58146941e+00	4.02799675e+00	-2.23263669e-01	3.31557061e-02	-6.14180107e-02	-3.66910872e-01	-2.44873447e-01	-1.22037425e-01
20              	-4.29391326e+00	-2.11178477e+00	-2.18212850e+00	-1.44730133e+00	-7.58010639e-01	-6.89290688e-01	-3.43599757e-02	3.51718653e-02	-5.02103308e-02	3.31553326e-02	-3.36326645e-02	6.67879971e-02
30              	7.10885585e-01	3.61689536e-01	3.49196050e-01	1.40359786e+00	6.95172206e-01	7.08425657e-01	-6.62672552e-03	6.24674286e-03	-4.42360719e-03	-2.51034952e-02	-1.69753548e-02	-8.12814039e-03
40              	1.21079910e+00	6.02052538e-01	6.08746564e-01	1.40367995e+00	6.87392043e-01	7.16287909e-01	-1.44479331e-02	-3.34701276e-03	1.73057819e-02	6.95072470e-02	5.20594054e-02	1.74478416e-02
50              	1.17786967e+00	5.66554648e-01	6.11315019e-01	1.22606107e+00	5.94422763e-01	6.31638308e-01	-1.86077723e-02	-2.23801857e-02	2.70744416e-02	8.77468316e-02	7.09478574e-02	1.67989742e-02
60              	1.23038219e+00	6.14600573e-01	6.15781620e-01	8.98871023e-01	4.30914988e-01	4.67956035e-01	-1.85205234e-02	-5.90523617e-04	8.43848913e-04	4.78915177e-02	2.47896077e-02	2.31019099e-02
70              	9.78841312e-01	4.85050837e-01	4.93790475e-01	-8.84319484e-02	-4.79074559e-02	-4.05244926e-02	-3.69148164e-03	-4.36981885e-03	-3.71899582e-03	3.72076454e-02	1.48848269e-02	2.23228185e-02
80              	1.00462098e+00	4.93237513e-01	5.11383463e-01	6.78186592e-02	2.97720791e-02	3.80465801e-02	-4.13725049e-03	-9.07297529e-03	-3.64371809e-03	-2.47690604e-02	-1.60282483e-02	-8.74081210e-03
90              	9.25473456e-01	4.57983676e-01	4.67489780e-01	3.60439930e-01	1.83147374e-01	1.77292557e-01	2.92740843e-03	-4.75305184e-03	-4.39720277e-03	-4.35110343e-02	-2.61527199e-02	-1.73583144e-02
100             	8.85274370e-01	4.44109302e-01	4.41165068e-01	6.15431895e-01	3.02671513e-01	3.12760382e-01	-5.04443496e-03	1.47211680e-03	-1.46606305e-05	-3.84700529e-02	-1.92496871e-02	-1.92203658e-02
110             	9.09919646e-01	4.58900792e-01	4.51018854e-01	6.50757129e-01	3.09155397e-01	3.41601732e-01	-1.62231674e-02	3.94096932e-03	3.86504278e-03	-1.60468590e-02	-4.15838673e-03	-1.18884723e-02
120             	8.74348700e-01	4.39370391e-01	4.34978309e-01	4.19119128e-01	1.99256635e-01	2.19862493e-01	-1.03029292e-02	2.19604116e-03	5.17881205e-03	4.84310063e-03	7.60036236e-03	-2.75726173e-03
130             	8.55688812e-01	4.28113744e-01	4.27575068e-01	2.66371049e-01	1.28705191e-01	1.37665858e-01	-4.48033327e-03	2.69337976e-04	2.99749368e-03	2.89521520e-02	1.74735697e-02	1.14785823e-02
140             	8.58783181e-01	4.27068320e-01	4.31714862e-01	3.24494999e-01	1.55087373e-01	1.69407627e-01	-7.16012704e-03	-2.32327080e-03	3.95024123e-04	2.31336118e-02	1.19618300e-02	1.11717818e-02
150             	8.71870591e-01	4.32600459e-01	4.39270132e-01	4.02858507e-01	1.92232732e-01	2.10625775e-01	-9.19652139e-03	-3.33483629e-03	-1.92118435e-03	-1.69889114e-03	-2.77062992e-03	1.07173878e-03
160             	8.72600208e-01	4.33263032e-01	4.39337175e-01	4.13698571e-01	1.97431956e-01	2.16266615e-01	-9.41732944e-03	-3.03707155e-03	2.18751422e-04	-1.11322195e-02	-5.34735835e-03	-5.78486119e-03
170             	8.61506433e-01	4.32065948e-01	4.29440486e-01	4.00678959e-01	1.89603549e-01	2.11075410e-01	-1.07359301e-02	1.31273104e-03	-3.80772332e-04	-2.02499873e-03	-1.39327170e-03	-6.31727036e-04
180             	8.58704830e-01	4.31821832e-01	4.26882998e-01	4.04034727e-01	1.89713037e-01	2.14321690e-01	-1.23043264e-02	2.46941704e-03	-1.68938261e-03	-4.08376693e-04	-1.89357096e-03	1.48519426e-03
190             	8.62584190e-01	4.31977074e-01	4.30607116e-01	4.13855905e-01	1.95120601e-01	2.18735305e-01	-1.18073520e-02	6.84979226e-04	-2.61385025e-03	-4.62460350e-03	-4.92615201e-03	3.01548502e-04
200             	8.64881479e-01	4.31251056e-01	4.33630423e-01	4.16072385e-01	1.98348924e-01	2.17723460e-01	-9.68726783e-03	-1.18968335e-03	-2.31875186e-03	-4.95892681e-03	-4.79821527e-03	-1.60711543e-04
210             	8.63109456e-01	4.30719206e-01	4.32390251e-01	4.07336073e-01	1.94894730e-01	2.12441343e-01	-8.77330669e-03	-8.35522454e-04	-1.14336167e-03	-4.88764394e-03	-3.58718364e-03	-1.30046030e-03
220             	8.65225248e-01	4.32393465e-01	4.32831783e-01	4.05030155e-01	1.93208057e-01	2.11822098e-01	-9.30702062e-03	-2.19159176e-04	-6.24763806e-04	-3.53368610e-03	-2.39160686e-03	-1.14207925e-03
230             	8.70792420e-01	4.34280552e-01	4.36511869e-01	4.14236081e-01	1.98202521e-01	2.16033559e-01	-8.91551885e-03	-1.11565853e-03	-8.62799662e-04	-1.94462588e-03	-1.83511260e-03	-1.09513280e-04
240             	8.71947685e-01	4.33590384e-01	4.38357301e-01	4.15476744e-01	1.99151403e-01	2.16325341e-01	-8.58696873e-03	-2.38345814e-03	-7.40937330e-04	-9.33472745e-04	-1.20767370e-03	2.74200957e-04
250             	8.69715936e-01	4.32481771e-01	4.37234165e-01	4.15464197e-01	1.98905293e-01	2.16558904e-01	-8.82680577e-03	-2.37619674e-03	-3.24182039e-04	2.27227956e-03	8.11957740e-04	1.46032182e-03
260             	8.67563652e-01	4.31703304e-01	4.35860348e-01	4.16402026e-01	1.99322702e-01	2.17079324e-01	-8.87831104e-03	-2.07852199e-03	-2.60556185e-04	4.44348566e-03	1.96118665e-03	2.48229902e-03
270             	8.68542669e-01	4.31865267e-01	4.36677402e-01	4.17765665e-01	2.00063012e-01	2.17702653e-01	-8.81982026e-03	-2.40606748e-03	-5.86924961e-04	5.95864231e-03	2.39239620e-03	3.56624612e-03
280             	8.72769572e-01	4.33545749e-01	4.39223823e-01	4.19374383e-01	2.00716526e-01	2.18657857e-01	-8.97066574e-03	-2.83903680e-03	-5.88713153e-04	9.65311739e-03	4.23784554e-03	5.41527185e-03
290             	8.76914049e-01	4.35812462e-01	4.41101587e-01	4.19465169e-01	2.00346163e-01	2.19119006e-01	-9.38642157e-03	-2.64456216e-03	-3.44469273e-04	1.28113252e-02	6.06119333e-03	6.75013187e-03
300             	8.79507347e-01	4.37591171e-01	4.41916176e-01	4.18348969e-01	1.99428000e-01	2.18920970e-01	-9.74648500e-03	-2.16250264e-03	-5.02182089e-04	1.17394167e-02	5.36752626e-03	6.37189044e-03
310             	8.80148985e-01	4.38095298e-01	4.42053687e-01	4.18070400e-01	1.99272714e-01	2.18797686e-01	-9.76248639e-03	-1.97919442e-03	-9.07199819e-04	8.98158139e-03	3.58359087e-03	5.39799051e-03
320             	8.79638670e-01	4.38074797e-01	4.41563873e-01	4.18797025e-01	1.99781991e-01	2.19015034e-01	-9.61652130e-03	-1.74453809e-03	-1.19128266e-03	6.86414362e-03	2.24078915e-03	4.62335447e-03
330             	8.79758889e-01	4.38655275e-01	4.41103614e-01	4.21404080e-01	2.00968731e-01	2.20435349e-01	-9.73330884e-03	-1.22416973e-03	-1.46422827e-03	3.90861098e-03	4.90077221e-04	3.41853376e-03
340             	8.81763539e-01	4.40057103e-01	4.41706437e-01	4.25626509e-01	2.02755589e-01	2.22870920e-01	-1.00576656e-02	-8.24666919e-04	-1.84538419e-03	3.46095785e-04	-1.67233630e-03	2.01843208e-03
350             	8.84381770e-01	4.41421846e-01	4.42959924e-01	4.27671607e-01	2.03598893e-01	2.24072714e-01	-1.02369108e-02	-7.69039199e-04	-1.88620474e-03	-1.91217215e-03	-2.84229082e-03	9.30118671e-04
360             	8.87019285e-01	4.42863618e-01	4.44155667e-01	4.28214653e-01	2.03759088e-01	2.24455565e-01	-1.03482386e-02	-6.46024539e-04	-1.56067414e-03	-3.51452823e-03	-3.31793825e-03	-1.96589978e-04
370             	8.89720347e-01	4.44589232e-01	4.45131114e-01	4.28572533e-01	2.03715160e-01	2.24857374e-01	-1.05711072e-02	-2.70940880e-04	-1.14501652e-03	-5.94947737e-03	-4.11975520e-03	-1.82972217e-03
380             	8.91871821e-01	4.46051287e-01	4.45820535e-01	4.28993031e-01	2.03808440e-01	2.25184591e-01	-1.06880752e-02	1.15375952e-04	-7.89370608e-04	-7.90267630e-03	-4.74070876e-03	-3.16196754e-03
390             	8.93657654e-01	4.47036183e-01	4.46621470e-01	4.30242416e-01	2.04442356e-01	2.25800060e-01	-1.06788523e-02	2.07356500e-04	-4.26924046e-04	-7.66655469e-03	-4.26020139e-03	-3.40635330e-03
400             	8.95360983e-01	4.47706658e-01	4.47654326e-01	4.32953542e-01	2.05844249e-01	2.27109293e-01	-1.06325218e-02	2.61659335e-05	7.27987906e-06	-6.29444695e-03	-3.13994359e-03	-3.15450335e-03
410             	8.96819736e-01	4.48032725e-01	4.48787011e-01	4.35863208e-01	2.07308910e-01	2.28554298e-01	-1.06226941e-02	-3.77142731e-04	6.19046541e-04	-5.00169324e-03	-1.88180008e-03	-3.11989316e-03
420             	8.97980600e-01	4.48178723e-01	4.49801877e-01	4.38150332e-01	2.08372779e-01	2.29777553e-01	-1.07023873e-02	-8.11577048e-04	1.27459852e-03	-3.71657239e-03	-5.83687677e-04	-3.13288471e-03
430             	8.99516612e-01	4.48870643e-01	4.50645968e-01	4.40872461e-01	2.09619107e-01	2.31253354e-01	-1.08171236e-02	-8.87662461e-04	1.50471136e-03	-2.80665619e-03	1.01383264e-04	-2.90803946e-03
440             	9.01525897e-01	4.50044125e-01	4.51481772e-01	4.42738809e-01	2.10589190e-01	2.32149619e-01	-1.07802142e-02	-7.18823765e-04	1.30659281e-03	-1.46927121e-03	5.71957202e-04	-2.04122841e-03
450             	9.03827431e-01	4.51263185e-01	4.52564246e-01	4.43971461e-01	2.11210208e-01	2.32761253e-01	-1.07755228e-02	-6.50530899e-04	9.06928492e-04	8.72469756e-04	1.34316337e-03	-4.70693613e-04
460             	9.06107781e-01	4.52084509e-01	4.54023272e-01	4.44860101e-01	2.11568446e-01	2.33291655e-01	-1.08616047e-02	-9.69381864e-04	5.29436385e-04	4.15178795e-03	2.60533036e-03	1.54645759e-03
470             	9.08127481e-01	4.52444906e-01	4.55682575e-01	4.45260395e-01	2.11622092e-01	2.33638303e-01	-1.10081059e-02	-1.61883437e-03	2.16974392e-04	7.09241000e-03	3.76317939e-03	3.32923061e-03
480             	9.09683654e-01	4.52627512e-01	4.57056142e-01	4.45509167e-01	2.11663235e-01	2.33845932e-01	-1.10913488e-02	-2.21431454e-03	-5.45090087e-05	8.72654404e-03	4.30876301e-03	4.41778103e-03
490             	9.11163541e-01	4.53017827e-01	4.58145714e-01	4.47387440e-01	2.12666110e-01	2.34721330e-01	-1.10276104e-02	-2.56394331e-03	-3.83961883e-04	9.01602553e-03	4.12405088e-03	4.89197465e-03
500             	9.13090887e-01	4.53996063e-01	4.59094824e-01	4.50889912e-01	2.14331017e-01	2.36558894e-01	-1.11139387e-02	-2.54938062e-03	-9.35280387e-04	8.39066815e-03	3.26005369e-03	5.13061446e-03
