# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 2.40048000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	1.59651384e+02	7.98208855e+01	7.98304982e+01	2.19140837e-02	5.16135957e-01	-4.94221873e-01	5.05178915e-01	-4.80635906e-03	-3.32972298e-01	-4.79820297e-01	-5.72882447e-01	9.30621494e-02
20              	-2.48795226e+00	-1.27914660e+00	-1.20880565e+00	-4.39977918e-01	-2.58886893e-01	-1.81091025e-01	-3.88979336e-02	-3.51704746e-02	-2.23400238e-01	-3.85815225e-01	-4.16307851e-01	3.04926254e-02
30              	-1.41079201e+00	-7.19754564e-01	-6.91037447e-01	-1.48843928e-01	-1.21861367e-01	-2.69825612e-02	-4.74394028e-02	-1.43585587e-02	3.89767322e-02	4.62304403e-02	6.20919524e-02	-1.58615120e-02
40              	1.09862412e+00	5.40910921e-01	5.57713200e-01	-2.40482036e-01	-1.79372680e-01	-6.11093556e-02	-5.91316623e-02	-8.40113911e-03	7.78004609e-03	3.17536537e-02	2.36568730e-02	8.09678077e-03
50              	1.52880301e+00	7.55490167e-01	7.73312839e-01	-3.89398005e-02	-6.69256200e-02	2.79858195e-02	-4.74557197e-02	-8.91133576e-03	-7.88471210e-04	-3.09195013e-03	-2.33444627e-03	-7.57503853e-04
60              	1.54049073e+00	7.75737656e-01	7.64753077e-01	2.04776873e-01	6.64824738e-02	1.38294399e-01	-3.59059626e-02	5.49228937e-03	-8.28231897e-03	-1.12439091e-01	-6.45018645e-02	-4.79372265e-02
70              	1.52829420e+00	7.67028175e-01	7.61266029e-01	1.60483605e-01	6.34909960e-02	9.69926086e-02	-1.67508063e-02	2.88107321e-03	-5.02048181e-04	-7.70873576e-02	-3.90457270e-02	-3.80416306e-02
80              	1.62213302e+00	8.14383262e-01	8.07749756e-01	9.85480053e-02	3.80670271e-02	6.04809781e-02	-1.12069755e-02	3.31675328e-03	-1.96528649e-03	-2.33883538e-02	-1.36594634e-02	-9.72889043e-03
90              	1.66182110e+00	8.32336211e-01	8.29484893e-01	-2.37824941e-02	-2.89778434e-02	5.19534932e-03	-1.70865964e-02	1.42565871e-03	-6.92654862e-03	1.59385160e-02	1.04270937e-03	1.48958066e-02
100             	1.69145533e+00	8.43500278e-01	8.47955051e-01	-9.20081396e-02	-6.77595208e-02	-2.42486189e-02	-2.17554509e-02	-2.22738650e-03	-1.04638103e-02	4.07352194e-02	9.90379938e-03	3.08314200e-02
