# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 2.40048000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	1.60249140e+02	8.01197314e+01	8.01294083e+01	5.13367388e-01	-1.25695545e-01	6.39062933e-01	-3.82379239e-01	-4.83844454e-03	-5.98832317e-01	3.97638796e-02	-5.78950377e-01	6.18714257e-01
20              	-2.51204105e+00	-1.29322843e+00	-1.21881262e+00	4.05901277e-01	-3.17863139e-02	4.37687591e-01	-2.34736952e-01	-3.72079053e-02	1.63838329e-02	-5.60639121e-01	-2.63935727e-01	-2.96703393e-01
30              	-1.42272021e+00	-7.15378796e-01	-7.07341419e-01	1.00309894e-02	5.29105595e-02	-4.28795701e-02	4.78950648e-02	-4.01868846e-03	2.15520231e-02	-1.59736560e-01	-5.83162568e-02	-1.01420303e-01
40              	1.08099053e+00	5.31211131e-01	5.49779399e-01	1.94940160e-02	2.33264988e-02	-3.83248275e-03	1.35794908e-02	-9.28413406e-03	4.85928461e-02	-2.57025221e-01	-7.99197644e-02	-1.77105457e-01
50              	1.53152232e+00	7.61568378e-01	7.69953938e-01	2.75481482e-02	1.31244582e-02	1.44236900e-02	-6.49615896e-04	-4.19277968e-03	5.00495645e-02	-2.27488928e-02	3.86751181e-02	-6.14240109e-02
60              	1.56777838e+00	7.87443073e-01	7.80335303e-01	8.55485846e-02	2.73075278e-02	5.82410569e-02	-1.54667645e-02	3.55388491e-03	4.55574179e-02	2.35476225e-01	1.63295530e-01	7.21806947e-02
70              	1.56358555e+00	7.84942816e-01	7.78642736e-01	4.83797809e-02	1.40780822e-02	3.43016987e-02	-1.01118083e-02	3.15004035e-03	1.45797913e-02	2.02575000e-01	1.15867291e-01	8.67077086e-02
80              	1.64510114e+00	8.21900832e-01	8.23200305e-01	2.35096330e-02	6.98940787e-03	1.65202251e-02	-4.76540864e-03	-6.49736778e-04	5.11873152e-03	1.14661761e-01	6.24496122e-02	5.22121491e-02
90              	1.67623427e+00	8.34690769e-01	8.41543505e-01	5.15872632e-04	-2.98436104e-03	3.50023367e-03	-3.24229736e-03	-3.42636767e-03	1.05150997e-02	-2.08754401e-02	7.73796869e-05	-2.09528198e-02
100             	1.70562160e+00	8.45696841e-01	8.59924763e-01	-1.62827731e-02	-1.49899002e-02	-1.29287294e-03	-6.84851361e-03	-7.11396098e-03	1.74464030e-02	-9.29928899e-02	-2.90500419e-02	-6.39428480e-02
