speed_m_s,angle_deg,Cd,Cl,Cm,Fx_N,Fy_N,Fz_N,rho_kg_m3,case_name,timestamp
1.0,30.0,0.5386781085,0.3286084681,0.00631468236,nan,nan,nan,1025.0,unit_cell_U1.00_A30.0,2026-06-22T08:29:57.704135
1.0,45.0,0.6510000298,0.7211932358,-0.02272974912,-0.008177747904,-0.00022912054781000003,0.159865196,1025.0,unit_cell_U1.00_A45.0,2026-06-22T14:26:22.560115
1.0,90.0,1.1823017200000001,-0.01716664634,0.002309989761,0.002828388732,-0.0006176244153,0.1947968635,1025.0,unit_cell_U1.00_A90.0,2026-06-22T14:27:37.716395
1.0,45.0,0.6506299157,0.7212566155,-0.022757165000000003,-0.008228251414,-0.00012084016399000002,0.1598294603,1025.0,해석완료_unit_cell_U1.00_A45.0,2026-06-22T17:08:01.661505
1.0,90.0,1.237346952,-0.04492018905,0.007509963054,0.007401081961,0.001506618907,0.2038661543,1025.0,해석완료_unit_cell_U1.00_A90.0,2026-06-22T17:09:26.517010
2.0,45.0,0.536133141,0.6472067859,-0.01970277992,-0.05176183394,0.001668544883,0.5514525510999999,1025.0,해석완료_unit_cell_U2.00_A45.0,2026-06-22T17:10:49.711772
2.0,90.0,1.05687045,-0.0002652138722,-0.0006363433955,0.00017478729626,-0.0175098578,0.6965228759000001,1025.0,해석완료_unit_cell_U2.00_A90.0,2026-06-22T17:12:13.095895
1.0,45.0,0.650768931,0.7205136524,-0.02269653799,-0.008125497912,-0.00030654521259999997,0.1597590982,1025.0,해석완료_unit_cell_U1.00_A45.0,2026-06-22T19:49:57.116908
1.0,90.0,1.205984642,-0.015461612599999999,0.003378296516,0.002547466172,0.0010209998139,0.1986988782,1025.0,해석완료_unit_cell_U1.00_A90.0,2026-06-22T19:51:13.389366
2.0,45.0,0.5359700540000001,0.6468844928,-0.01968849434,-0.05168764166999999,0.0016789416309999998,0.5512263572,1025.0,해석완료_unit_cell_U2.00_A45.0,2026-06-22T19:52:25.916958
2.0,90.0,1.0452718109999999,-0.017381769289999998,0.0005792964629,0.01145533016,-0.00464744879,0.6888788768999999,1025.0,해석완료_unit_cell_U2.00_A90.0,2026-06-22T19:53:43.880780
1.0,45.0,0.6514084659,0.7209047365,-0.02268970305,-0.0080965526,-0.00042519194884,0.1598791689,1025.0,해석완료_unit_cell_U1.00_A45.0,2026-06-22T23:29:06.232495
1.0,90.0,1.182886337,-0.011760134129999999,0.0008968600829000001,0.001937607976,0.001330808534,0.1948931851,1025.0,해석완료_unit_cell_U1.00_A90.0,2026-06-22T23:30:42.699242
1.0,90.0,1.21534749,0.01186936448,-0.0016093036549,-0.0019556048419999998,0.0026804002809999996,0.200241508,1025.0,해석완료_unit_cell_U1.00_A90.0,2026-06-22T23:48:46.803909
