# Force and moment coefficients
# dragDir       : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# sideDir       : (7.07106781e-01 0.00000000e+00 -7.07106781e-01)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# pitchAxis     : (7.07106781e-01 0.00000000e+00 -7.07106781e-01)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 2.00000000e-02
# Aref          : 4.00000000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	2.38372558e-02	1.18454701e-02	1.19917857e-02	-8.77253593e-04	-3.66696144e-04	-5.10557449e-04	7.19306526e-05	-7.31577943e-05	1.49621454e-02	7.23604501e-03	1.85801679e-02	-1.13441228e-02
20              	-1.77090748e-02	-8.65906174e-03	-9.05001302e-03	-4.19896637e-04	1.28044834e-04	-5.47941471e-04	3.37993152e-04	1.95475641e-04	-1.12734714e-02	1.20059753e-02	-5.27048371e-03	1.72764590e-02
30              	1.85621752e-02	9.38660311e-03	9.17557213e-03	-3.02639640e-04	9.13994346e-05	-3.94039075e-04	2.42719255e-04	1.05515489e-04	-6.99759423e-03	8.34667645e-03	-2.82425600e-03	1.11709325e-02
40              	1.69085392e-02	8.45829505e-03	8.45024415e-03	-9.24980745e-05	4.80176601e-05	-1.40515735e-04	9.42666974e-05	4.02545030e-06	-5.77325901e-03	9.27479160e-03	-1.13586321e-03	1.04106548e-02
50              	1.50854555e-02	7.49363883e-03	7.59181665e-03	-9.35240325e-05	-5.65545800e-06	-8.78685745e-05	4.11065582e-05	-4.90889060e-05	-6.45299695e-03	6.67977713e-03	-3.11310839e-03	9.79288552e-03
60              	1.47493113e-02	7.35293678e-03	7.39637456e-03	-1.02919593e-04	-8.13578541e-06	-9.47838080e-05	4.33240113e-05	-2.17188891e-05	-7.19523418e-03	2.69062321e-03	-5.84992257e-03	8.54054579e-03
70              	1.48749884e-02	7.41411109e-03	7.46087727e-03	-2.22396196e-05	1.46698782e-05	-3.69094978e-05	2.57896880e-05	-2.33830918e-05	-7.94512993e-03	-2.22627890e-03	-9.05826938e-03	6.83199048e-03
80              	1.52223627e-02	7.59030632e-03	7.63205641e-03	-1.07547384e-04	-2.42719780e-05	-8.32754062e-05	2.95017141e-05	-2.08750427e-05	-7.73101438e-03	-5.06077590e-03	-1.02614023e-02	5.20062643e-03
90              	1.49842032e-02	7.47679057e-03	7.50741261e-03	-1.08902536e-04	-2.24075207e-05	-8.64950153e-05	3.20437473e-05	-1.53110181e-05	-7.32090418e-03	-3.06822985e-03	-8.85501911e-03	5.78678926e-03
100             	1.37342065e-02	6.89419089e-03	6.84001563e-03	-1.87159353e-04	-1.62148589e-05	-1.70944494e-04	7.73648177e-05	2.70876299e-05	-7.56620852e-03	-3.47486659e-05	-7.58358285e-03	7.54883419e-03
110             	1.37180429e-02	6.88705988e-03	6.83098298e-03	-1.90466941e-04	-1.87719867e-05	-1.71694954e-04	7.64614836e-05	2.80384476e-05	-7.58477516e-03	5.53673036e-04	-7.30793864e-03	7.86161168e-03
120             	1.33244406e-02	6.65072471e-03	6.67371587e-03	-1.38578882e-04	-3.83379466e-05	-1.00240936e-04	3.09514946e-05	-1.14955801e-05	-7.50955358e-03	-4.34937327e-05	-7.53130045e-03	7.48780671e-03
130             	1.28600333e-02	6.41774572e-03	6.44228756e-03	-2.34948659e-04	-8.00224462e-05	-1.54926213e-04	3.74518832e-05	-1.22709166e-05	-7.46458679e-03	-4.41250833e-04	-7.68521221e-03	7.24396137e-03
140             	1.25239585e-02	6.26016776e-03	6.26379078e-03	-3.01361326e-04	-1.01180691e-04	-2.00180635e-04	4.94999724e-05	-1.81150786e-06	-7.38599827e-03	-5.43598978e-04	-7.65779775e-03	7.11419878e-03
150             	1.23414887e-02	6.17549587e-03	6.16599279e-03	-3.42465557e-04	-1.18305611e-04	-2.24159946e-04	5.29271673e-05	4.75153898e-06	-7.30666192e-03	-5.33345609e-04	-7.57333473e-03	7.03998912e-03
160             	1.22502522e-02	6.13530338e-03	6.11494887e-03	-3.79129090e-04	-1.30525830e-04	-2.48603260e-04	5.90387147e-05	1.01772508e-05	-7.24917310e-03	-6.28769678e-04	-7.56355793e-03	6.93478826e-03
170             	1.21976776e-02	6.10924264e-03	6.08843495e-03	-4.08162453e-04	-1.42372816e-04	-2.65789637e-04	6.17084108e-05	1.04038437e-05	-7.20717819e-03	-7.93044455e-04	-7.60370041e-03	6.81065596e-03
180             	1.21517466e-02	6.08452638e-03	6.06722020e-03	-4.45118433e-04	-1.61852182e-04	-2.83266251e-04	6.07070348e-05	8.65309018e-06	-7.17281947e-03	-8.91265517e-04	-7.61845223e-03	6.72718671e-03
190             	1.21081372e-02	6.06221165e-03	6.04592557e-03	-4.98545868e-04	-1.88428161e-04	-3.10117707e-04	6.08447728e-05	8.14303774e-06	-7.14703714e-03	-8.99183996e-04	-7.59662914e-03	6.69744514e-03
200             	1.20752653e-02	6.04459583e-03	6.03066945e-03	-5.55898744e-04	-2.17729497e-04	-3.38169246e-04	6.02198746e-05	6.96318817e-06	-7.12794996e-03	-8.31886606e-04	-7.54389326e-03	6.71200666e-03
210             	1.20583236e-02	6.03413661e-03	6.02418701e-03	-6.00552980e-04	-2.41939049e-04	-3.58613931e-04	5.83374410e-05	4.97479985e-06	-7.11722289e-03	-7.23380228e-04	-7.47891300e-03	6.75553277e-03
