# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 2.00000000e-02
# Aref          : 4.00000000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	8.24310653e-02	4.11237623e-02	4.13073030e-02	3.29783830e-03	8.06743198e-04	2.49109510e-03	-8.42175953e-04	-9.17703447e-05	8.97344841e-05	-9.22244086e-04	-3.71387559e-04	-5.50856527e-04
20              	-2.20114328e-02	-1.10194310e-02	-1.09920017e-02	-3.96855246e-04	-6.78937641e-04	2.82082395e-04	-4.80510018e-04	-1.37146587e-05	5.06917872e-04	-2.85734502e-04	3.64050620e-04	-6.49785123e-04
30              	1.51737493e-02	7.57639105e-03	7.59735828e-03	-7.52690776e-04	-4.27159022e-04	-3.25531754e-04	-5.08136341e-05	-1.04836129e-05	4.92234078e-04	-5.95987718e-04	1.94240219e-04	-7.90227937e-04
40              	1.16413059e-02	5.81572958e-03	5.82557632e-03	-6.25743489e-04	-3.97670805e-04	-2.28072684e-04	-8.47990602e-05	-4.92336897e-06	-3.73749893e-04	-2.48656110e-04	-4.98077948e-04	2.49421838e-04
50              	1.03510826e-02	5.17260812e-03	5.17847452e-03	-8.21928725e-04	-3.87304618e-04	-4.34624106e-04	2.36597440e-05	-2.93319792e-06	-2.59887192e-04	-2.79790543e-04	-3.99782464e-04	1.19991921e-04
60              	1.08488267e-02	5.42220632e-03	5.42662036e-03	-9.77219579e-04	-4.03894838e-04	-5.73324741e-04	8.47149515e-05	-2.20701813e-06	-2.38720215e-04	1.48739488e-04	-1.64350471e-04	3.13089959e-04
70              	1.03722706e-02	5.18748245e-03	5.18478811e-03	-1.13898508e-03	-4.65686526e-04	-6.73298556e-04	1.03806015e-04	1.34717138e-06	-2.14690141e-04	-2.41481122e-04	-3.35430702e-04	9.39495800e-05
80              	1.02804486e-02	5.14355804e-03	5.13689058e-03	-1.17961781e-03	-4.51714011e-04	-7.27903801e-04	1.38094895e-04	3.33372711e-06	-2.51419780e-04	-8.50908511e-04	-6.76874035e-04	-1.74034476e-04
90              	1.03288301e-02	5.17018191e-03	5.15864822e-03	-1.27458532e-03	-4.61517739e-04	-8.13067583e-04	1.75774922e-04	5.76684089e-06	-3.09525395e-04	-1.52840561e-03	-1.07372820e-03	-4.54677408e-04
100             	1.04492298e-02	5.23008405e-03	5.21914576e-03	-1.57189274e-03	-5.74047727e-04	-9.97845013e-04	2.11898643e-04	5.46914400e-06	-3.27538151e-04	-1.79563126e-03	-1.22535378e-03	-5.70277481e-04
110             	1.05869254e-02	5.29671388e-03	5.29021149e-03	-2.02935833e-03	-7.84695671e-04	-1.24466266e-03	2.29983494e-04	3.25119664e-06	-2.99397197e-04	-1.38866128e-03	-9.93727839e-04	-3.94933444e-04
120             	1.06801042e-02	5.34089099e-03	5.33921319e-03	-2.39918421e-03	-9.62452950e-04	-1.43673127e-03	2.37139158e-04	8.38900543e-07	-2.57456430e-04	-7.36139757e-04	-6.25526309e-04	-1.10613449e-04
130             	1.07148041e-02	5.35772749e-03	5.35707662e-03	-2.46583097e-03	-1.01113712e-03	-1.45469385e-03	2.21778363e-04	3.25435625e-07	-2.33346000e-04	-3.60052091e-04	-4.13372046e-04	5.33199548e-05
140             	1.07407861e-02	5.37225748e-03	5.36852863e-03	-2.19053319e-03	-9.11749882e-04	-1.27878331e-03	1.83516714e-04	1.86442723e-06	-2.37103011e-04	-4.06881343e-04	-4.40543683e-04	3.36623396e-05
150             	1.07629702e-02	5.38504938e-03	5.37792086e-03	-1.78763487e-03	-7.45159589e-04	-1.04247528e-03	1.48657846e-04	3.56426162e-06	-2.51573811e-04	-6.59233767e-04	-5.81190695e-04	-7.80430722e-05
160             	1.07733291e-02	5.39044766e-03	5.38288149e-03	-1.50026466e-03	-6.15903150e-04	-8.84361507e-04	1.34229179e-04	3.78308583e-06	-2.45389151e-04	-7.94651173e-04	-6.42714738e-04	-1.51936435e-04
170             	1.07686208e-02	5.38717356e-03	5.38144727e-03	-1.38416485e-03	-5.60425211e-04	-8.23739634e-04	1.31657211e-04	2.86314248e-06	-2.11638001e-04	-6.69536897e-04	-5.46406450e-04	-1.23130447e-04
180             	1.07506998e-02	5.37715829e-03	5.37354151e-03	-1.36938056e-03	-5.58972143e-04	-8.10408415e-04	1.25718136e-04	1.80838622e-06	-1.75803567e-04	-3.76708259e-04	-3.64157696e-04	-1.25505622e-05
190             	1.07236435e-02	5.36306543e-03	5.36057803e-03	-1.35207316e-03	-5.64026975e-04	-7.88046183e-04	1.12009604e-04	1.24370029e-06	-1.56797675e-04	-1.11057652e-04	-2.12326502e-04	1.01268849e-04
200             	1.06916231e-02	5.34699141e-03	5.34463173e-03	-1.28021158e-03	-5.45306540e-04	-7.34905043e-04	9.47992513e-05	1.17983754e-06	-1.50964420e-04	2.83753547e-05	-1.36776742e-04	1.65152097e-04
210             	1.06601192e-02	5.33127912e-03	5.32884013e-03	-1.16838158e-03	-5.03718718e-04	-6.64662860e-04	8.04720710e-05	1.21949381e-06	-1.44731821e-04	7.14174036e-05	-1.09023119e-04	1.80440522e-04
220             	1.06303314e-02	5.31631934e-03	5.31401205e-03	-1.06470090e-03	-4.59703858e-04	-6.04997040e-04	7.26465912e-05	1.15364293e-06	-1.30916976e-04	1.04671217e-04	-7.85813670e-05	1.83252584e-04
230             	1.06045566e-02	5.30326916e-03	5.30128748e-03	-1.00255131e-03	-4.32050970e-04	-5.70500343e-04	6.92246864e-05	9.90839114e-07	-1.11209883e-04	1.89156972e-04	-1.66313973e-05	2.05788369e-04
240             	1.05841041e-02	5.29281099e-03	5.29129307e-03	-9.80380177e-04	-4.23654729e-04	-5.56725448e-04	6.65353598e-05	7.58960629e-07	-9.16958442e-05	3.23935747e-04	7.02720295e-05	2.53663718e-04
250             	1.05688241e-02	5.28495693e-03	5.28386720e-03	-9.73801763e-04	-4.23759496e-04	-5.50042267e-04	6.31413857e-05	5.44865383e-07	-7.66045921e-05	4.66238006e-04	1.56514411e-04	3.09723595e-04
260             	1.05576372e-02	5.27922576e-03	5.27841149e-03	-9.58757887e-04	-4.19953806e-04	-5.38804081e-04	5.94251377e-05	4.07136468e-07	-6.52399776e-05	5.80041596e-04	2.24780820e-04	3.55260775e-04
270             	1.05510052e-02	5.27583959e-03	5.27516558e-03	-9.31208646e-04	-4.08672998e-04	-5.22535648e-04	5.69313250e-05	3.37003239e-07	-5.36110052e-05	6.65423710e-04	2.79100850e-04	3.86322860e-04
280             	1.05494727e-02	5.27497888e-03	5.27449385e-03	-9.05279877e-04	-3.96024593e-04	-5.09255284e-04	5.66153458e-05	2.42512502e-07	-3.95898451e-05	7.48203328e-04	3.34511819e-04	4.13691509e-04
290             	1.05528851e-02	5.27655986e-03	5.27632527e-03	-8.96684308e-04	-3.90196223e-04	-5.06488084e-04	5.81459305e-05	1.17295722e-07	-2.39000784e-05	8.52050605e-04	4.02125224e-04	4.49925381e-04
300             	1.05602171e-02	5.28010150e-03	5.28011559e-03	-9.08860976e-04	-3.94049184e-04	-5.14811792e-04	6.03813043e-05	-7.04491109e-09	-8.52123082e-06	9.77451509e-04	4.80204524e-04	4.97246985e-04
310             	1.05701155e-02	5.28494272e-03	5.28517282e-03	-9.30265505e-04	-4.03106217e-04	-5.27159288e-04	6.20265358e-05	-1.15047985e-07	4.89312082e-06	1.10524398e-03	5.57515110e-04	5.47728868e-04
320             	1.05815494e-02	5.29054579e-03	5.29100363e-03	-9.46007482e-04	-4.10367359e-04	-5.35640123e-04	6.26363818e-05	-2.28921742e-07	1.61801112e-05	1.21480362e-03	6.23581922e-04	5.91221700e-04
