# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	7.53444020e-03	5	1.00000000e+00	7.57039570e-03	5	1.00000000e+00	9.30968510e-03	5	false	smoothSolver	1.00000000e+00	7.80281360e-03	5	true	smoothSolver	8.19402590e-02	4.19619290e-04	4	true	GAMG	1.00000000e+00	9.76580460e-03	8	true
2               	smoothSolver	8.14360070e-01	4.52807240e-03	5	8.14447830e-01	4.52800400e-03	5	3.29951400e-01	1.88932630e-03	5	false	smoothSolver	2.84780010e-01	1.22071060e-03	4	true	smoothSolver	5.50256770e-03	2.29718390e-05	4	true	GAMG	4.81905200e-01	3.49820660e-03	7	true
3               	smoothSolver	3.83118120e-01	1.52930340e-03	5	3.84912000e-01	1.54342140e-03	5	2.13521500e-02	8.17352950e-05	5	false	smoothSolver	4.04806800e-02	3.99423710e-04	3	true	smoothSolver	7.94951330e-03	2.76160240e-05	4	true	GAMG	6.06551490e-01	4.98040870e-03	7	true
4               	smoothSolver	1.70566650e-01	5.71181770e-04	5	1.68269230e-01	5.67429150e-04	5	8.36367500e-03	7.57585950e-05	4	false	smoothSolver	2.02494930e-02	6.27782670e-05	4	true	smoothSolver	8.55464310e-03	7.79316610e-05	3	true	GAMG	6.55662230e-01	6.19786740e-03	7	true
5               	smoothSolver	9.99203560e-02	6.39815390e-04	4	9.57174470e-02	6.08506060e-04	4	7.38647200e-03	4.87422860e-05	4	false	smoothSolver	1.02759500e-02	9.93260710e-05	3	true	smoothSolver	6.26500730e-03	4.69413250e-05	3	true	GAMG	5.36583950e-01	4.94075040e-03	7	true
6               	smoothSolver	1.79256670e-01	1.67249070e-03	4	1.67315550e-01	1.56306840e-03	4	1.15714930e-02	1.02324840e-04	4	false	smoothSolver	6.69934470e-03	5.34569540e-05	3	true	smoothSolver	5.14814810e-03	3.49554140e-05	3	true	GAMG	3.52422810e-01	2.04052760e-03	7	true
7               	smoothSolver	2.50991140e-01	8.79376110e-04	5	2.32183400e-01	8.21276850e-04	5	1.80438100e-02	6.40382120e-05	5	false	smoothSolver	6.92098980e-03	1.90352180e-05	4	true	smoothSolver	3.88847030e-03	2.87837130e-05	3	true	GAMG	4.08946180e-01	3.98200400e-03	6	true
8               	smoothSolver	2.98805820e-01	1.08047150e-03	5	2.19314140e-01	7.97591470e-04	5	3.73601940e-02	1.30676360e-04	5	false	smoothSolver	9.10609080e-03	2.85107580e-05	4	true	smoothSolver	4.09478350e-03	4.08074270e-05	3	true	GAMG	5.43811000e-01	5.39517010e-03	6	true
9               	smoothSolver	1.89605810e-01	6.35999350e-04	5	1.82238760e-01	6.10853350e-04	5	1.14348670e-01	1.12936530e-03	4	false	smoothSolver	7.94720120e-03	2.27953700e-05	4	true	smoothSolver	3.97960450e-03	3.48263160e-05	3	true	GAMG	5.94996780e-01	3.43829470e-03	7	true
10              	smoothSolver	1.34755040e-01	8.76620390e-04	4	1.47176550e-01	9.81838520e-04	4	8.35604610e-02	5.62934050e-04	4	false	smoothSolver	6.19344200e-03	1.78664270e-05	4	true	smoothSolver	3.75188600e-03	3.43213730e-05	3	true	GAMG	5.06398830e-01	2.93073700e-03	7	true
11              	smoothSolver	1.62526360e-01	1.13213150e-03	4	1.87564730e-01	1.34456340e-03	4	1.05821850e-01	7.39549110e-04	4	false	smoothSolver	5.46404970e-03	1.68897040e-05	4	true	smoothSolver	3.56127420e-03	3.44430550e-05	3	true	GAMG	3.57724790e-01	3.09254170e-03	6	true
12              	smoothSolver	1.94481160e-01	1.70854630e-03	4	2.26075090e-01	2.04063490e-03	4	3.51286860e-02	3.05228440e-04	4	false	smoothSolver	4.83327530e-03	1.55067930e-05	4	true	smoothSolver	2.98535470e-03	9.12271740e-06	4	true	GAMG	3.35868490e-01	2.21610560e-03	6	true
13              	smoothSolver	1.57004060e-01	1.51839370e-03	4	1.75609520e-01	1.73493830e-03	4	1.83494930e-02	1.75582240e-04	4	false	smoothSolver	4.46682570e-03	1.34991410e-05	4	true	smoothSolver	2.55509990e-03	8.25625550e-06	4	true	GAMG	4.24936490e-01	3.15546200e-03	6	true
14              	smoothSolver	1.07830270e-01	1.04180240e-03	4	1.01953850e-01	1.00142380e-03	4	1.07011080e-02	1.03662920e-04	4	false	smoothSolver	4.00840360e-03	1.20961150e-05	4	true	smoothSolver	2.45429900e-03	7.28150960e-06	4	true	GAMG	4.73896350e-01	3.29364340e-03	6	true
15              	smoothSolver	7.52280130e-02	6.09235900e-04	4	6.22166100e-02	5.13223310e-04	4	6.73782740e-03	5.89113300e-05	4	false	smoothSolver	3.39100640e-03	1.05613590e-05	4	true	smoothSolver	2.48711650e-03	2.45817490e-05	3	true	GAMG	4.60505400e-01	3.07411800e-03	6	true
