speed_m_s,angle_deg,Cd,Cl,Cm,Fx_N,Fy_N,Fz_N,rho_kg_m3,case_name,timestamp
1.0,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A0.0_223042,2026-06-17T22:30:45.261591
1.0,0.0,nan,nan,nan,nan,nan,nan,1025.0,unit_cell_U1.00_A0.0_222622,2026-06-20T22:26:26.474620
1.0,45.0,0.01212800566,-0.002046857878,6.818260353e-05,nan,nan,nan,1025.0,test_onemesh3_A45_120519,2026-06-21T12:06:53.795750
1.0,90.0,0.01073675009,-0.0008913550920000001,5.6052757669999994e-05,nan,nan,nan,1025.0,test_onemesh3_A90_120653,2026-06-21T12:08:28.208608
1.0,45.0,0.01228676603,-0.002163513256,5.758570297e-05,nan,nan,nan,1025.0,med_onemesh3_A45_120857,2026-06-21T12:11:33.316046
1.0,90.0,0.01090461014,-0.0008899578062999999,5.5079839149999995e-05,nan,nan,nan,1025.0,med_onemesh3_A90_121133,2026-06-21T12:14:08.223335
1.0,45.0,0.9060187207,0.0028694612000000003,0.00108072492193,nan,nan,nan,1025.0,fix_onemesh3_A45_124944,2026-06-21T13:27:58.616453
1.0,90.0,1.6899615140000002,-0.004239875717,0.003616795599,nan,nan,nan,1025.0,fix_onemesh3_A90_132758,2026-06-21T14:08:18.095494
1.0,45.0,0.904784362,0.44355032860000004,-0.01088005505,nan,nan,nan,1025.0,fix_onemesh3_A45_152643,2026-06-21T16:09:17.890415
1.0,90.0,1.6948075519999999,-0.010324237831,-0.0033914155360000005,nan,nan,nan,1025.0,fix_onemesh3_A90_160917,2026-06-21T16:50:55.127781
1.0,90,0.2816863738,-0.0010468776569999999,-0.0003680225358,nan,nan,nan,1025.0,unit_cell_U1.00_A90.0_173829,2026-06-21T18:43:20.960550
1.0,90,1.194579141,-0.03538050945,0.007838991645,nan,nan,nan,1025.0,unit_cell_U1.00_A90.0_090936,2026-06-22T09:10:50.211176
1.0,90,1.181825186,0.019319103100000002,-0.004290212152,nan,nan,nan,1025.0,unit_cell_U1.00_A90.0_091618,2026-06-22T09:17:32.078326
1.0,90,1.1980820529999998,-0.010544520452,0.0010125188252,nan,nan,nan,1025.0,unit_cell_U1.00_A90.0_100143,2026-06-22T10:02:55.631949
1.0,90,1.209171332,-0.04076277179,0.0067481041369999994,nan,nan,nan,1025.0,unit_cell_U1.00_A90.0_101553,2026-06-22T10:17:07.958677
1.0,90,1.209910032,-0.042646922590000004,0.007149318629,nan,nan,nan,1025.0,unit_cell_U1.00_A90.0_104654,2026-06-22T10:48:09.443090
1.0,90,1.2146271670000002,-0.03437634627,0.001716292933,0.0056638710049999996,0.0030259594470000003,0.200122827,1025.0,unit_cell_U1.00_A90.0_142054,2026-06-22T14:22:12.529744
