# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	5.94111074e+00	2.98261668e+00	2.95849406e+00	-4.76252807e-02	-9.75832831e-03	-3.78669524e-02	1.40543120e-02	1.20613083e-02	3.26745180e-02	-6.91993832e-02	-1.92517362e-03	-6.72742096e-02
20              	-2.10837897e+00	-1.05197417e+00	-1.05640480e+00	-4.61779508e-03	-3.34663555e-04	-4.28313152e-03	1.97423398e-03	2.21531838e-03	4.47851209e-04	-2.15727398e-02	-1.03385187e-02	-1.12342211e-02
30              	4.44035768e-01	2.21930072e-01	2.22105695e-01	5.40903768e-03	2.91879031e-03	2.49024738e-03	2.14271465e-04	-8.78113240e-05	2.60041383e-03	8.65196946e-04	3.03301231e-03	-2.16781536e-03
40              	6.12798320e-01	3.06255296e-01	3.06543024e-01	5.79414255e-03	3.31801870e-03	2.47612385e-03	4.20947428e-04	-1.43864115e-04	4.19305038e-04	7.58806208e-03	4.21333608e-03	3.37472600e-03
50              	4.56280608e-01	2.28714347e-01	2.27566261e-01	1.80213409e-02	6.95450635e-03	1.10668346e-02	-2.05616411e-03	5.74043094e-04	6.21107221e-05	-1.07699008e-03	-4.76384318e-04	-6.00605762e-04
60              	4.11598108e-01	2.05678338e-01	2.05919771e-01	1.74376824e-02	5.49607487e-03	1.19416076e-02	-3.22276634e-03	-1.20716312e-04	5.26710016e-04	-3.58047426e-03	-1.26352712e-03	-2.31694715e-03
70              	3.51909508e-01	1.75113598e-01	1.76795910e-01	1.69300254e-02	5.33267354e-03	1.15973518e-02	-3.13233915e-03	-8.41156137e-04	-8.00450038e-04	3.01498577e-03	7.07042849e-04	2.30794293e-03
80              	3.12310082e-01	1.57619950e-01	1.54690132e-01	1.89300714e-02	7.29771998e-03	1.16323514e-02	-2.16731570e-03	1.46490866e-03	-6.91134157e-04	7.50294804e-03	3.06033986e-03	4.44260818e-03
90              	3.02989150e-01	1.54676399e-01	1.48312751e-01	1.10242400e-02	4.30639875e-03	6.71784129e-03	-1.20572127e-03	3.18182369e-03	-1.16029142e-03	8.44196269e-03	3.06068993e-03	5.38127276e-03
100             	3.14937505e-01	1.60728376e-01	1.54209129e-01	-1.99082985e-03	-8.09573372e-04	-1.18125648e-03	1.85841552e-04	3.25962321e-03	-6.39033191e-04	5.15558180e-03	1.93875771e-03	3.21682409e-03
110             	3.09457844e-01	1.57097013e-01	1.52360831e-01	-4.35793120e-03	3.77164736e-04	-4.73509593e-03	2.55613033e-03	2.36809089e-03	-3.70121328e-04	6.77536264e-04	-3.13531962e-05	7.08889460e-04
120             	2.86653798e-01	1.43548008e-01	1.43105790e-01	-1.12059835e-02	-6.62577107e-04	-1.05434064e-02	4.94041465e-03	2.21109067e-04	-1.20251438e-03	3.04526320e-03	3.20117216e-04	2.72514598e-03
130             	2.61339066e-01	1.28711429e-01	1.32627637e-01	-1.73805542e-02	-1.72862396e-03	-1.56519302e-02	6.96165314e-03	-1.95810384e-03	-1.76373604e-03	5.76576935e-03	1.11914863e-03	4.64662072e-03
140             	2.54887282e-01	1.24904769e-01	1.29982513e-01	-1.27099598e-02	1.31166768e-03	-1.40216275e-02	7.66664759e-03	-2.53887189e-03	-1.59246828e-03	5.69700969e-03	1.25603657e-03	4.44097312e-03
150             	2.53668458e-01	1.25894481e-01	1.27773976e-01	1.35134788e-03	6.20907505e-03	-4.85772717e-03	5.53340111e-03	-9.39747424e-04	-8.59248600e-04	3.90468220e-03	1.09309250e-03	2.81158970e-03
160             	2.53696002e-01	1.29567461e-01	1.24128541e-01	1.90410066e-02	1.18842117e-02	7.15679483e-03	2.36370845e-03	2.71946003e-03	-3.17084801e-04	4.28235618e-03	1.82409329e-03	2.45826289e-03
