# Force and moment coefficients
# dragDir       : (8.66019053e-01 0.00000000e+00 5.00011000e-01)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-5.00011000e-01 0.00000000e+00 8.66019053e-01)
# rollAxis      : (8.66019053e-01 0.00000000e+00 5.00011000e-01)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-5.00011000e-01 0.00000000e+00 8.66019053e-01)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	9.72484279e+00	4.88186267e+00	4.84298012e+00	2.64533927e+00	1.25284212e+00	1.39249715e+00	-6.98275162e-02	1.94412770e-02	-1.12303498e-02	-4.34538118e-02	-3.29572557e-02	-1.04965560e-02
20              	-2.17006109e+00	-1.07715341e+00	-1.09290768e+00	-6.08991893e-01	-3.04409736e-01	-3.04582157e-01	8.62102935e-05	7.87713570e-03	1.56632476e-03	-6.58029811e-03	-1.72382430e-03	-4.85647381e-03
30              	7.00051758e-01	3.41894695e-01	3.58157063e-01	1.74704547e+00	8.87975728e-01	8.59069742e-01	1.44529932e-02	-8.13118370e-03	-1.72738019e-04	1.18892977e-02	5.77191084e-03	6.11738688e-03
40              	1.10248779e+00	5.42895230e-01	5.59592558e-01	1.99337715e+00	9.80324658e-01	1.01305249e+00	-1.63639181e-02	-8.34866407e-03	2.65569897e-03	4.60270017e-03	4.95704905e-03	-3.54348881e-04
50              	8.88909341e-01	4.39700172e-01	4.49209169e-01	1.87665335e+00	8.91516636e-01	9.85136719e-01	-4.68100414e-02	-4.75449830e-03	1.93222068e-03	-4.07349143e-03	-1.04525034e-04	-3.96896639e-03
60              	9.07845567e-01	4.58285698e-01	4.49559868e-01	1.44460846e+00	6.89792518e-01	7.54815937e-01	-3.25117092e-02	4.36291494e-03	-1.38704895e-03	3.72706981e-03	4.76485957e-04	3.25058386e-03
70              	8.35390423e-01	4.21712498e-01	4.13677926e-01	4.22833587e-01	2.04620490e-01	2.18213097e-01	-6.79630362e-03	4.01728606e-03	-2.02888659e-03	8.83399185e-04	-1.58718700e-03	2.47058618e-03
80              	5.92798040e-01	2.96688802e-01	2.96109238e-01	-4.18443978e-01	-2.02206498e-01	-2.16237480e-01	7.01549073e-03	2.89782094e-04	-4.76301715e-04	9.46054345e-03	4.25397001e-03	5.20657344e-03
90              	5.67383126e-01	2.75266526e-01	2.92116600e-01	-3.49552949e-01	-1.64191896e-01	-1.85361053e-01	1.05845782e-02	-8.42503709e-03	2.96839975e-03	1.08175815e-02	8.37719047e-03	2.44039098e-03
100             	5.59634221e-01	2.71424741e-01	2.88209480e-01	-1.64714121e-01	-6.14811360e-02	-1.03232985e-01	2.08759247e-02	-8.39236983e-03	1.24401961e-03	9.28905571e-03	5.88854747e-03	3.40050824e-03
