# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	9.99999880e-01	6.07765720e-03	5	1.00000000e+00	5.72665740e-03	5	1.00000000e+00	6.08897170e-03	5	false	smoothSolver	1.00000000e+00	5.61380690e-03	5	true	smoothSolver	9.22187560e-02	9.08265100e-04	3	true	GAMG	1.00000000e+00	9.29785470e-03	14	true
2               	smoothSolver	4.57008660e-01	1.86511700e-03	5	8.95099550e-01	3.64759930e-03	5	4.96440200e-01	2.05561410e-03	5	false	smoothSolver	4.32579920e-01	3.50543010e-03	3	true	smoothSolver	7.17111010e-03	2.51892170e-05	4	true	GAMG	5.38598440e-01	3.73358150e-03	7	true
3               	smoothSolver	2.16238860e-02	2.04259890e-04	4	3.70135870e-01	3.51849010e-03	4	2.26844650e-02	2.09590580e-04	4	false	smoothSolver	4.97437930e-02	3.64320480e-04	3	true	smoothSolver	1.05415000e-02	2.90365730e-05	4	true	GAMG	6.73851600e-01	6.32139030e-03	7	true
4               	smoothSolver	7.91490350e-03	6.51666220e-05	4	1.54780690e-01	1.27759480e-03	4	8.07511330e-03	6.65640310e-05	4	false	smoothSolver	2.60576860e-02	2.26158990e-04	3	true	smoothSolver	1.09548470e-02	8.34404840e-05	3	true	GAMG	7.03830090e-01	3.94432560e-03	8	true
5               	smoothSolver	5.27474640e-03	2.89834890e-05	4	9.22224220e-02	5.17683110e-04	4	5.64781400e-03	3.10019340e-05	4	false	smoothSolver	1.47116820e-02	1.01230600e-04	3	true	smoothSolver	9.79494180e-03	6.43012770e-05	3	true	GAMG	6.03524530e-01	3.44345470e-03	8	true
6               	smoothSolver	1.33952680e-02	9.97743380e-05	4	2.29629000e-01	1.70880460e-03	4	1.41964990e-02	1.08469580e-04	4	false	smoothSolver	9.86791430e-03	5.60497130e-05	3	true	smoothSolver	7.33270600e-03	4.60051070e-05	3	true	GAMG	3.60095650e-01	2.49301030e-03	7	true
7               	smoothSolver	3.09211650e-02	2.64508290e-04	4	3.96702850e-01	3.39222050e-03	4	3.08035030e-02	2.70088970e-04	4	false	smoothSolver	7.07330970e-03	5.71297200e-05	3	true	smoothSolver	4.89880390e-03	4.13004830e-05	3	true	GAMG	3.66618140e-01	3.03294690e-03	6	true
8               	smoothSolver	3.72406450e-01	3.24184920e-03	4	3.66705160e-01	3.19177580e-03	4	2.00813790e-01	1.81283630e-03	4	false	smoothSolver	8.88326080e-03	7.88941430e-05	3	true	smoothSolver	5.24307580e-03	4.41355260e-05	3	true	GAMG	5.50221760e-01	3.47201690e-03	7	true
9               	smoothSolver	2.61387340e-02	2.17807580e-04	4	2.22251740e-01	1.85383370e-03	4	3.09606870e-02	2.68151620e-04	4	false	smoothSolver	8.21915690e-03	7.07572000e-05	3	true	smoothSolver	5.07906690e-03	3.94609030e-05	3	true	GAMG	6.16919040e-01	4.04325460e-03	7	true
10              	smoothSolver	1.17927060e-02	6.91505670e-05	4	1.27382280e-01	7.50977120e-04	4	1.30502120e-02	7.87048610e-05	4	false	smoothSolver	6.22268920e-03	4.82133750e-05	3	true	smoothSolver	4.91327050e-03	3.24787000e-05	3	true	GAMG	5.71639670e-01	3.58328460e-03	7	true
11              	smoothSolver	1.51305750e-02	8.97539100e-05	4	1.56135780e-01	8.99828460e-04	4	1.64976050e-02	9.69624360e-05	4	false	smoothSolver	5.19410520e-03	3.66467300e-05	3	true	smoothSolver	4.63337270e-03	3.11397120e-05	3	true	GAMG	4.38949600e-01	4.29336870e-03	6	true
12              	smoothSolver	3.65710980e-02	2.79661720e-04	4	2.27636490e-01	1.71363140e-03	4	3.74137060e-02	2.87809520e-04	4	false	smoothSolver	4.85330070e-03	3.87961500e-05	3	true	smoothSolver	3.86278840e-03	3.16952260e-05	3	true	GAMG	3.51946230e-01	3.44197070e-03	5	true
13              	smoothSolver	9.35595360e-02	7.77311520e-04	4	2.20294460e-01	1.80461620e-03	4	1.33640010e-01	1.13134570e-03	4	false	smoothSolver	4.59463200e-03	4.09826200e-05	3	true	smoothSolver	3.17056980e-03	3.02449620e-05	3	true	GAMG	4.14970760e-01	2.72056510e-03	6	true
14              	smoothSolver	2.03430940e-02	1.68101020e-04	4	1.66226920e-01	1.35604540e-03	4	2.39502050e-02	2.03157200e-04	4	false	smoothSolver	4.34092740e-03	4.13879200e-05	3	true	smoothSolver	3.00362560e-03	2.78568010e-05	3	true	GAMG	4.82399740e-01	3.83842420e-03	6	true
15              	smoothSolver	9.48711050e-03	6.68464680e-05	4	1.07699750e-01	7.50300390e-04	4	1.08714820e-02	8.00288370e-05	4	false	smoothSolver	3.96186520e-03	3.82705070e-05	3	true	smoothSolver	2.90470840e-03	2.63031500e-05	3	true	GAMG	4.74602090e-01	3.88679230e-03	6	true
16              	smoothSolver	6.74690340e-03	3.49333420e-05	4	8.38343620e-02	4.29094060e-04	4	7.71095960e-03	4.50676120e-05	4	false	smoothSolver	3.73151370e-03	3.61692070e-05	3	true	smoothSolver	2.74729860e-03	2.54824780e-05	3	true	GAMG	4.18415300e-01	3.03950680e-03	6	true
17              	smoothSolver	8.11401330e-03	5.26278240e-05	4	9.74501100e-02	6.19906440e-04	4	8.68961050e-03	5.85933950e-05	4	false	smoothSolver	3.56960630e-03	9.48588850e-06	4	true	smoothSolver	2.43151250e-03	6.43955460e-06	4	true	GAMG	3.60973340e-01	3.51948590e-03	5	true
18              	smoothSolver	1.00026050e-02	7.24904170e-05	4	1.07909750e-01	7.72312720e-04	4	1.03412910e-02	7.72062430e-05	4	false	smoothSolver	3.38712160e-03	9.50137920e-06	4	true	smoothSolver	2.15327230e-03	6.13738100e-06	4	true	GAMG	3.43722350e-01	2.71166500e-03	5	true
