# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               2.74326883e-02 3.01274431e-04 2.73632027e-02 2.47810251e-02 3.01351064e-04 3.00300544e-02 2.65166317e-03 -7.66327715e-08 -2.66685170e-03
20               1.24497043e-01 2.78727267e-04 1.97862708e-01 1.19075655e-01 2.87474898e-04 1.94623954e-01 5.42138885e-03 -8.74763085e-06 3.23875412e-03
30               7.19780708e-02 4.71899490e-04 9.25559276e-02 6.70983815e-02 4.85934140e-04 8.77329319e-02 4.87968933e-03 -1.40346501e-05 4.82299563e-03
40               3.64053547e-02 4.38298400e-04 9.69520514e-02 3.18421158e-02 4.38191972e-04 9.21871192e-02 4.56323896e-03 1.06427963e-07 4.76493214e-03
50               2.11398393e-02 5.71094035e-04 1.04812754e-01 1.65154832e-02 5.67861800e-04 9.96846020e-02 4.62435603e-03 3.23223505e-06 5.12815176e-03
60               1.75022569e-02 1.96114228e-04 1.01083862e-01 1.26846618e-02 1.94030136e-04 9.60046056e-02 4.81759508e-03 2.08409150e-06 5.07925678e-03
70               6.86338682e-03 1.96098641e-04 1.11891263e-01 2.15734857e-03 2.00287296e-04 1.06638007e-01 4.70603825e-03 -4.18865473e-06 5.25325517e-03
80               7.63183420e-03 1.46990230e-04 1.12078137e-01 2.91390459e-03 1.48518722e-04 1.06766570e-01 4.71792962e-03 -1.52849184e-06 5.31156759e-03
90               5.40881123e-03 2.03479464e-04 1.13574495e-01 6.00531615e-04 2.06693026e-04 1.08274856e-01 4.80827961e-03 -3.21356244e-06 5.29963835e-03
100              1.79741231e-03 3.63435149e-04 1.19206278e-01 -2.89331048e-03 3.62276813e-04 1.13753227e-01 4.69072279e-03 1.15833529e-06 5.45305079e-03
110              3.43613316e-03 1.47284726e-04 1.16689030e-01 -1.38084342e-03 1.51668964e-04 1.11307175e-01 4.81697658e-03 -4.38423815e-06 5.38185528e-03
120              -6.03920600e-04 4.02990536e-04 1.21654489e-01 -5.30670346e-03 4.03825823e-04 1.16128139e-01 4.70278286e-03 -8.35286021e-07 5.52635033e-03
