# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	9.63580929e-01	4.82535976e-01	4.81044953e-01	-1.65670175e-02	-2.11933735e-03	-1.44476802e-02	6.16417140e-03	7.45511453e-04	-3.42499768e-03	4.13878168e-03	-1.35560684e-03	5.49438852e-03
20              	2.08393382e+00	1.04179189e+00	1.04214194e+00	-1.08063086e-02	-8.94385006e-03	-1.86245854e-03	-3.54069576e-03	-1.75025928e-04	3.55588536e-03	3.82202889e-03	5.46689981e-03	-1.64487092e-03
30              	5.36422016e-01	2.68392573e-01	2.68029443e-01	-8.39041919e-03	-8.62902564e-03	2.38606454e-04	-4.43381605e-03	1.81565172e-04	-1.73028696e-04	-1.01548713e-03	-6.80772260e-04	-3.34714868e-04
40              	8.45708333e-01	4.23790752e-01	4.21917581e-01	-3.04793843e-03	-2.48953223e-04	-2.79898521e-03	1.27501599e-03	9.36585815e-04	-5.13024107e-06	1.32048013e-02	6.59727041e-03	6.60753089e-03
50              	7.83048388e-01	3.91863466e-01	3.91184922e-01	-2.00631946e-03	6.16850917e-04	-2.62317038e-03	1.62001065e-03	3.39271962e-04	-6.33938179e-04	6.05879629e-03	2.39545996e-03	3.66333632e-03
60              	8.15463095e-01	4.07678709e-01	4.07784387e-01	-5.20608708e-03	-7.43245688e-04	-4.46284139e-03	1.85979785e-03	-5.28389793e-05	-2.80906916e-03	4.23609063e-03	-6.91023843e-04	4.92711447e-03
70              	8.34890792e-01	4.17285339e-01	4.17605453e-01	-4.88309833e-03	-2.74385316e-04	-4.60871302e-03	2.16716385e-03	-1.60057409e-04	-1.30282748e-03	4.45540464e-03	9.24874843e-04	3.53052979e-03
80              	8.61548436e-01	4.30813040e-01	4.30735397e-01	-5.25805313e-03	2.01596539e-04	-5.45964967e-03	2.83062310e-03	3.88216090e-05	6.03571668e-04	1.98675307e-03	1.59694820e-03	3.89804864e-04
90              	8.55222577e-01	4.27770185e-01	4.27452392e-01	-5.78674803e-03	5.93311265e-04	-6.38005929e-03	3.48668528e-03	1.58896671e-04	9.65887318e-04	1.38497671e-03	1.65837567e-03	-2.73398964e-04
100             	8.77321103e-01	4.38732574e-01	4.38588529e-01	-6.25247922e-03	9.65732685e-04	-7.21821190e-03	4.09197229e-03	7.20225606e-05	1.17235133e-03	1.16982712e-03	1.75726489e-03	-5.87437770e-04
110             	8.82430961e-01	4.41231978e-01	4.41198982e-01	-6.92760222e-03	9.32479635e-04	-7.86008186e-03	4.39628075e-03	1.64979713e-05	1.19594205e-03	1.45089117e-03	1.92138764e-03	-4.70496464e-04
120             	8.90441899e-01	4.45263185e-01	4.45178714e-01	-7.53034121e-03	6.19816165e-04	-8.15015738e-03	4.38498677e-03	4.22357350e-05	8.87603921e-04	1.89610859e-03	1.83565822e-03	6.04503762e-05
130             	9.00617918e-01	4.50408331e-01	4.50209587e-01	-7.92786800e-03	3.77995658e-04	-8.30586366e-03	4.34192966e-03	9.93716347e-05	6.50101978e-04	2.13664715e-03	1.71842556e-03	4.18221599e-04
140             	9.09422741e-01	4.54788772e-01	4.54633969e-01	-8.38201407e-03	5.71105898e-05	-8.43912466e-03	4.24811762e-03	7.74017125e-05	5.95452245e-04	2.43952208e-03	1.81521329e-03	6.24308796e-04
150             	9.19123937e-01	4.59538532e-01	4.59585405e-01	-8.79698160e-03	-2.95100841e-04	-8.50188076e-03	4.10338996e-03	-2.34367638e-05	4.98788886e-04	2.65620584e-03	1.82689180e-03	8.29314032e-04
160             	9.27923603e-01	4.63820127e-01	4.64103476e-01	-8.77190112e-03	-4.63470380e-04	-8.30843074e-03	3.92248018e-03	-1.41674665e-04	3.79580356e-04	2.43878373e-03	1.59897222e-03	8.39811509e-04
170             	9.35939341e-01	4.67774553e-01	4.68164788e-01	-8.80154737e-03	-6.35706841e-04	-8.16584052e-03	3.76506684e-03	-1.95117898e-04	3.00246061e-04	2.33650577e-03	1.46849895e-03	8.68006826e-04
180             	9.44612399e-01	4.72113213e-01	4.72499186e-01	-9.06321125e-03	-9.41526052e-04	-8.12168520e-03	3.59007957e-03	-1.92986622e-04	2.83150570e-04	2.36534999e-03	1.46582556e-03	8.99524423e-04
190             	9.53230906e-01	4.76459703e-01	4.76771202e-01	-9.49045340e-03	-1.32276295e-03	-8.16769045e-03	3.42246375e-03	-1.55749487e-04	2.78738690e-04	2.36586715e-03	1.46167227e-03	9.04194885e-04
200             	9.61756767e-01	4.80762945e-01	4.80993821e-01	-9.85688986e-03	-1.66301115e-03	-8.19387871e-03	3.26543378e-03	-1.15437984e-04	2.69435847e-04	2.36211599e-03	1.45049384e-03	9.11622149e-04
210             	9.70105591e-01	4.84978090e-01	4.85127502e-01	-1.01249740e-02	-1.93555014e-03	-8.18942391e-03	3.12693688e-03	-7.47060458e-05	2.61556881e-04	2.32040074e-03	1.42175725e-03	8.98643488e-04
220             	9.78314465e-01	4.89138624e-01	4.89175841e-01	-1.03305450e-02	-2.15831006e-03	-8.17223497e-03	3.00696245e-03	-1.86087057e-05	2.70529059e-04	2.12940742e-03	1.33523277e-03	7.94174649e-04
230             	9.86604275e-01	4.93336912e-01	4.93267363e-01	-1.05818213e-02	-2.38204679e-03	-8.19977456e-03	2.90886389e-03	3.47747650e-05	2.76380872e-04	1.94743918e-03	1.25010046e-03	6.97338717e-04
240             	9.94970626e-01	4.97559756e-01	4.97410870e-01	-1.09674338e-02	-2.66345643e-03	-8.30397733e-03	2.82026045e-03	7.44428328e-05	2.74494713e-04	1.87373309e-03	1.21136126e-03	6.62371832e-04
250             	1.00331707e+00	5.01755849e-01	5.01561217e-01	-1.13712418e-02	-2.94952816e-03	-8.42171366e-03	2.73609275e-03	9.73158552e-05	2.69177357e-04	1.76315616e-03	1.15075544e-03	6.12400722e-04
260             	1.01158615e+00	5.05903482e-01	5.05682670e-01	-1.17351542e-02	-3.20496314e-03	-8.53019103e-03	2.66261394e-03	1.10406162e-04	2.54486390e-04	1.61246377e-03	1.06071828e-03	5.51745496e-04
270             	1.01976171e+00	5.10007043e-01	5.09754663e-01	-1.20486864e-02	-3.42196362e-03	-8.62672278e-03	2.60237958e-03	1.26189912e-04	2.41268256e-04	1.44377443e-03	9.63155469e-04	4.80618957e-04
280             	1.02793634e+00	5.14111119e-01	5.13825216e-01	-1.21838165e-02	-3.53520257e-03	-8.64861393e-03	2.55670568e-03	1.42951755e-04	2.23987716e-04	1.37300595e-03	9.10490693e-04	4.62515260e-04
290             	1.03617871e+00	5.18266231e-01	5.17912480e-01	-1.21877241e-02	-3.57875571e-03	-8.60896835e-03	2.51510632e-03	1.76875544e-04	1.97859267e-04	1.24401629e-03	8.19867413e-04	4.24148878e-04
300             	1.04447517e+00	5.22446925e-01	5.22028242e-01	-1.22767426e-02	-3.66409856e-03	-8.61264409e-03	2.47427276e-03	2.09341540e-04	1.70213590e-04	9.59421301e-04	6.49924241e-04	3.09497060e-04
310             	1.05281208e+00	5.26626831e-01	5.26185248e-01	-1.25743644e-02	-3.85642788e-03	-8.71793656e-03	2.43075434e-03	2.20791529e-04	1.41033253e-04	6.26001094e-04	4.54033800e-04	1.71967294e-04
320             	1.06123406e+00	5.30843221e-01	5.30390838e-01	-1.28984533e-02	-4.05065615e-03	-8.84779717e-03	2.39857051e-03	2.26191695e-04	8.54911771e-05	3.84143297e-04	2.77562825e-04	1.06580471e-04
330             	1.06975013e+00	5.35095820e-01	5.34654314e-01	-1.32617205e-02	-4.25281615e-03	-9.00890435e-03	2.37804410e-03	2.20752770e-04	1.31396611e-05	2.02889479e-04	1.14584401e-04	8.83050783e-05
340             	1.07832048e+00	5.39373194e-01	5.38947290e-01	-1.36928992e-02	-4.48144371e-03	-9.21145550e-03	2.36500590e-03	2.12951893e-04	-6.77170704e-05	5.59301728e-05	-3.97519840e-05	9.56821568e-05
350             	1.08698597e+00	5.43700542e-01	5.43285429e-01	-1.41064140e-02	-4.69032329e-03	-9.41609071e-03	2.36288371e-03	2.07556413e-04	-1.54401178e-04	-1.75455377e-04	-2.42128866e-04	6.66734891e-05
360             	1.09569258e+00	5.48054810e-01	5.47637774e-01	-1.44923792e-02	-4.88983484e-03	-9.60254438e-03	2.35635477e-03	2.08517937e-04	-2.44931764e-04	-4.92211038e-04	-4.91037283e-04	-1.17375472e-06
370             	1.10447359e+00	5.52455149e-01	5.52018446e-01	-1.47752310e-02	-5.04007388e-03	-9.73515711e-03	2.34754161e-03	2.18351812e-04	-3.36509939e-04	-8.70648750e-04	-7.71834313e-04	-9.88144364e-05
380             	1.11329476e+00	5.56873949e-01	5.56420809e-01	-1.50406897e-02	-5.18023997e-03	-9.86044975e-03	2.34010489e-03	2.26569977e-04	-4.13297820e-04	-1.24206439e-03	-1.03433002e-03	-2.07734375e-04
390             	1.12215675e+00	5.61308375e-01	5.60848378e-01	-1.53274573e-02	-5.33105533e-03	-9.99640195e-03	2.33267331e-03	2.29998095e-04	-4.90487134e-04	-1.58336673e-03	-1.28217050e-03	-3.01196233e-04
400             	1.13104253e+00	5.65755749e-01	5.65286784e-01	-1.55309000e-02	-5.43426064e-03	-1.00966394e-02	2.33118938e-03	2.34482783e-04	-5.66421067e-04	-1.95519951e-03	-1.54402082e-03	-4.11178687e-04
410             	1.13997994e+00	5.70218858e-01	5.69761079e-01	-1.57308622e-02	-5.53716637e-03	-1.01936959e-02	2.32826475e-03	2.28889503e-04	-6.40185558e-04	-2.28028865e-03	-1.78032989e-03	-4.99958770e-04
420             	1.14902895e+00	5.74731213e-01	5.74297737e-01	-1.60281118e-02	-5.68999762e-03	-1.03381142e-02	2.32405830e-03	2.16737913e-04	-7.18633220e-04	-2.56142696e-03	-1.99934670e-03	-5.62080261e-04
430             	1.15819205e+00	5.79296205e-01	5.78895850e-01	-1.63810221e-02	-5.87165531e-03	-1.05093668e-02	2.31885572e-03	2.00177608e-04	-7.98785182e-04	-2.82459127e-03	-2.21108082e-03	-6.13510452e-04
