# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               2.25744583e-05 4.06285912e-05 4.91373099e-06 2.16709370e-05 4.02954952e-05 4.87652246e-06 9.03521343e-07 3.33096012e-07 3.72085330e-08
20               -2.34371505e-05 -2.33370345e-05 -1.15361115e-06 -2.32391397e-05 -2.35621070e-05 -8.48392304e-07 -1.98010747e-07 2.25072500e-07 -3.05218846e-07
30               1.14044722e-06 -2.92236682e-05 1.19671188e-06 1.84481519e-06 -2.89037135e-05 1.24558017e-06 -7.04367970e-07 -3.19954652e-07 -4.88682885e-08
40               3.38138662e-08 8.40374158e-06 6.17311877e-06 8.91140313e-07 8.22478167e-06 6.45737202e-06 -8.57326446e-07 1.78959902e-07 -2.84253248e-07
50               4.17834181e-06 1.06776314e-05 2.23617108e-06 4.60068398e-06 1.07264590e-05 2.21392192e-06 -4.22342169e-07 -4.88276092e-08 2.22491640e-08
60               1.85148197e-05 1.22580898e-05 -3.48266320e-07 1.85832079e-05 1.22489393e-05 -4.11570398e-07 -6.83881917e-08 9.15044284e-09 6.33040785e-08
70               8.58704949e-06 1.42839659e-05 -1.05495234e-06 8.45260125e-06 1.39462059e-05 -1.03951986e-06 1.34448231e-07 3.37760038e-07 -1.54324845e-08
80               -3.97819349e-06 1.86568837e-05 2.55876610e-07 -4.02997722e-06 1.81826067e-05 2.66016144e-07 5.17837255e-08 4.74276960e-07 -1.01395338e-08
90               -6.36624753e-06 2.29810467e-05 1.04730181e-06 -6.34122115e-06 2.23906132e-05 1.00915680e-06 -2.50263742e-08 5.90433452e-07 3.81450158e-08
100              -7.72706982e-06 2.69705462e-05 4.74706977e-07 -7.67530364e-06 2.62512297e-05 4.28942839e-07 -5.17661865e-08 7.19316513e-07 4.57641374e-08
110              -7.88255833e-06 2.89762697e-05 1.08739568e-07 -7.81625069e-06 2.82005460e-05 7.18575015e-08 -6.63076400e-08 7.75723749e-07 3.68820661e-08
120              -5.85027484e-06 2.89018301e-05 2.78379412e-07 -5.80627139e-06 2.81029787e-05 2.48770755e-07 -4.40034464e-08 7.98851447e-07 2.96086566e-08
130              -4.28487882e-06 2.86180370e-05 6.54967109e-07 -4.27591198e-06 2.78229061e-05 6.27889581e-07 -8.96684046e-09 7.95130873e-07 2.70775275e-08
140              -3.92467767e-06 2.79997137e-05 5.10161436e-07 -3.93613513e-06 2.72107302e-05 4.87158172e-07 1.14574653e-08 7.88983442e-07 2.30032639e-08
150              -3.28756104e-06 2.70458010e-05 -1.54473754e-07 -3.30680387e-06 2.62521828e-05 -1.78381116e-07 1.92428322e-08 7.93618207e-07 2.39073624e-08
160              -2.50184722e-06 2.58534089e-05 -9.33790070e-07 -2.53119782e-06 2.50703313e-05 -9.53019636e-07 2.93505995e-08 7.83077576e-07 1.92295664e-08
170              -1.97894797e-06 2.48158838e-05 -1.28603908e-06 -2.02234293e-06 2.40431742e-05 -1.29538054e-06 4.33949576e-08 7.72709661e-07 9.34145526e-09
180              -1.86627009e-06 2.36625275e-05 -1.27199165e-06 -1.91922526e-06 2.29106287e-05 -1.27054285e-06 5.29551678e-08 7.51898797e-07 -1.44880009e-09
190              -1.83719101e-06 2.25577570e-05 -1.02655845e-06 -1.89172313e-06 2.18336641e-05 -1.02169109e-06 5.45321241e-08 7.24092863e-07 -4.86736055e-09
200              -1.77587516e-06 2.15227588e-05 -7.60861815e-07 -1.83173159e-06 2.08257952e-05 -7.56993021e-07 5.58564252e-08 6.96963629e-07 -3.86879358e-09
210              -1.72394421e-06 2.06099136e-05 -4.92394062e-07 -1.77731567e-06 1.99373339e-05 -4.91126522e-07 5.33714681e-08 6.72579733e-07 -1.26753965e-09
220              -1.78308062e-06 1.98191517e-05 -1.22651602e-07 -1.83700693e-06 1.91743771e-05 -1.21562793e-07 5.39263135e-08 6.44774641e-07 -1.08880870e-09
230              -1.82165042e-06 1.91725755e-05 2.29203508e-07 -1.86659068e-06 1.85512540e-05 2.25286591e-07 4.49402545e-08 6.21321535e-07 3.91691700e-09
240              -1.80921858e-06 1.85885825e-05 4.90659202e-07 -1.85287662e-06 1.79887086e-05 4.78851729e-07 4.36580307e-08 5.99873943e-07 1.18074732e-08
250              -1.77417143e-06 1.80338259e-05 6.41417287e-07 -1.82228339e-06 1.74485917e-05 6.26071047e-07 4.81119590e-08 5.85234147e-07 1.53462394e-08
260              -1.67734198e-06 1.75495207e-05 7.27696643e-07 -1.73064128e-06 1.69767529e-05 7.12437378e-07 5.32992934e-08 5.72767802e-07 1.52592652e-08
270              -1.59022011e-06 1.71525107e-05 8.31728713e-07 -1.64685713e-06 1.65948984e-05 8.17287847e-07 5.66370213e-08 5.57612306e-07 1.44408662e-08
280              -1.47632257e-06 1.68514700e-05 9.42207484e-07 -1.53506007e-06 1.63063096e-05 9.27020174e-07 5.87374975e-08 5.45160394e-07 1.51873099e-08
