# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	6.16268660e-03	5	1.00000000e+00	6.17119930e-03	5	1.00000000e+00	7.75177690e-03	5	false	smoothSolver	1.00000000e+00	6.79899430e-03	5	true	smoothSolver	1.00584170e-01	4.19505230e-04	4	true	GAMG	1.00000000e+00	8.08907650e-03	10	true
2               	smoothSolver	8.15456890e-01	3.12211580e-03	5	8.15439780e-01	3.11282480e-03	5	5.24955210e-01	2.24207810e-03	5	false	smoothSolver	5.41993890e-01	3.36308710e-03	4	true	smoothSolver	2.04512910e-02	1.38110500e-04	4	true	GAMG	3.66348190e-01	2.55126490e-03	6	true
3               	smoothSolver	3.57313090e-01	3.17818560e-03	4	3.57238250e-01	3.16552940e-03	4	4.75396130e-02	4.35676960e-04	4	false	smoothSolver	1.04233920e-01	3.72382170e-04	4	true	smoothSolver	4.22945680e-02	1.53163340e-04	4	true	GAMG	4.83721320e-01	3.38964580e-03	6	true
4               	smoothSolver	1.67700130e-01	9.24718740e-04	4	1.67881160e-01	9.19651450e-04	4	3.20780550e-02	1.20503820e-04	4	false	smoothSolver	6.88593370e-02	2.33530530e-04	4	true	smoothSolver	3.32298160e-02	3.28529470e-04	3	true	GAMG	5.92456830e-01	4.20360380e-03	6	true
5               	smoothSolver	1.59548220e-01	8.29692960e-04	4	1.59733260e-01	8.33282850e-04	4	3.13130640e-02	1.47144120e-04	4	false	smoothSolver	3.95077160e-02	1.26398180e-04	4	true	smoothSolver	1.96091860e-02	1.91119840e-04	3	true	GAMG	4.99325880e-01	4.37904320e-03	6	true
6               	smoothSolver	1.96382370e-01	1.23183690e-03	4	1.97441800e-01	1.25299790e-03	4	3.28921230e-02	2.10952190e-04	4	false	smoothSolver	2.64509620e-02	2.40317710e-04	3	true	smoothSolver	1.66757850e-02	4.96144950e-05	4	true	GAMG	3.14518930e-01	2.93951170e-03	6	true
7               	smoothSolver	2.05445830e-01	1.42188190e-03	4	2.06584210e-01	1.43674920e-03	4	3.89014900e-02	2.87040610e-04	4	false	smoothSolver	2.40602520e-02	6.17015540e-05	4	true	smoothSolver	1.38006170e-02	4.36953660e-05	4	true	GAMG	2.72497390e-01	2.54216280e-03	6	true
8               	smoothSolver	1.70469400e-01	1.14718840e-03	4	1.70903290e-01	1.15470950e-03	4	4.65877810e-02	3.24848190e-04	4	false	smoothSolver	2.49271110e-02	6.05656820e-05	4	true	smoothSolver	1.20723170e-02	3.84054310e-05	4	true	GAMG	4.11754530e-01	2.51981020e-03	6	true
9               	smoothSolver	1.32077090e-01	7.79881890e-04	4	1.32145980e-01	7.87290230e-04	4	4.64902240e-02	3.03235360e-04	4	false	smoothSolver	2.40939850e-02	2.33057530e-04	3	true	smoothSolver	1.24259840e-02	3.50484640e-05	4	true	GAMG	4.38194290e-01	3.94180550e-03	5	true
10              	smoothSolver	1.12596280e-01	5.17652900e-04	4	1.12413890e-01	5.24527200e-04	4	4.76393370e-02	2.53625960e-04	4	false	smoothSolver	2.36081510e-02	2.09728000e-04	3	true	smoothSolver	1.32279700e-02	3.44527160e-05	4	true	GAMG	4.10097370e-01	2.27283170e-03	6	true
11              	smoothSolver	1.22818020e-01	6.29842600e-04	4	1.22744110e-01	6.28263130e-04	4	4.84869370e-02	2.39696240e-04	4	false	smoothSolver	2.36429600e-02	1.98041010e-04	3	true	smoothSolver	1.23569550e-02	3.48528600e-05	4	true	GAMG	3.62892840e-01	2.71342730e-03	6	true
12              	smoothSolver	1.49052620e-01	7.78306770e-04	4	1.49203270e-01	7.77696000e-04	4	5.12065400e-02	2.20299310e-04	4	false	smoothSolver	2.39917260e-02	1.80538860e-04	3	true	smoothSolver	1.18514430e-02	3.13498950e-05	4	true	GAMG	3.25074500e-01	2.96013690e-03	6	true
13              	smoothSolver	1.63940370e-01	8.27319310e-04	4	1.64067080e-01	8.28164890e-04	4	4.77294490e-02	2.06356100e-04	4	false	smoothSolver	2.34385330e-02	1.62668880e-04	3	true	smoothSolver	1.20540380e-02	1.16905300e-04	3	true	GAMG	3.20029530e-01	2.92381320e-03	6	true
14              	smoothSolver	1.62137880e-01	7.85112500e-04	4	1.62133160e-01	7.86883490e-04	4	4.22588870e-02	1.91322780e-04	4	false	smoothSolver	2.36510360e-02	1.51948290e-04	3	true	smoothSolver	1.34762490e-02	1.13587690e-04	3	true	GAMG	3.39866390e-01	2.69361460e-03	6	true
15              	smoothSolver	1.46754110e-01	6.37968990e-04	4	1.46800060e-01	6.37206300e-04	4	3.73767140e-02	1.77134660e-04	4	false	smoothSolver	2.28994910e-02	1.59651620e-04	3	true	smoothSolver	1.43891760e-02	1.10070250e-04	3	true	GAMG	3.44227040e-01	2.56671720e-03	6	true
16              	smoothSolver	1.34799010e-01	5.12340420e-04	4	1.35253170e-01	5.15193140e-04	4	3.58099770e-02	1.70810530e-04	4	false	smoothSolver	2.47248080e-02	1.76292580e-04	3	true	smoothSolver	1.41641770e-02	1.11979880e-04	3	true	GAMG	3.55285750e-01	2.73189580e-03	6	true
17              	smoothSolver	1.23081340e-01	4.33111550e-04	4	1.23342580e-01	4.31287450e-04	4	3.69343600e-02	1.68977650e-04	4	false	smoothSolver	2.66426540e-02	1.87385430e-04	3	true	smoothSolver	1.39241660e-02	1.12153740e-04	3	true	GAMG	3.42716310e-01	2.81403300e-03	6	true
18              	smoothSolver	1.15344520e-01	4.24405930e-04	4	1.15598110e-01	4.22871640e-04	4	3.89123900e-02	1.95730030e-04	4	false	smoothSolver	2.67854830e-02	1.78439930e-04	3	true	smoothSolver	1.16692550e-02	1.05999110e-04	3	true	GAMG	3.21408350e-01	2.65479630e-03	6	true
19              	smoothSolver	1.12945550e-01	4.72049920e-04	4	1.13067720e-01	4.65321990e-04	4	4.12624160e-02	2.11796960e-04	4	false	smoothSolver	2.61604550e-02	1.71408700e-04	3	true	smoothSolver	1.02779060e-02	2.63402810e-05	4	true	GAMG	2.92606720e-01	2.11976710e-03	6	true
20              	smoothSolver	1.08194610e-01	5.21277680e-04	4	1.08432200e-01	5.14447410e-04	4	4.48659570e-02	2.21076980e-04	4	false	smoothSolver	2.72408920e-02	1.88530920e-04	3	true	smoothSolver	9.28663850e-03	2.51359420e-05	4	true	GAMG	2.68459550e-01	1.84105260e-03	6	true
21              	smoothSolver	1.01735680e-01	5.70869540e-04	4	1.02030040e-01	5.68023010e-04	4	5.03838890e-02	2.54964480e-04	4	false	smoothSolver	2.97922690e-02	2.32041220e-04	3	true	smoothSolver	8.58021080e-03	2.39993520e-05	4	true	GAMG	2.53001810e-01	1.73151460e-03	6	true
22              	smoothSolver	9.89844970e-02	5.82502010e-04	4	9.91410010e-02	5.81977110e-04	4	5.57053750e-02	2.68934380e-04	4	false	smoothSolver	3.25586140e-02	2.84758820e-04	3	true	smoothSolver	7.78556770e-03	2.27647340e-05	4	true	GAMG	2.43376350e-01	1.70158910e-03	6	true
23              	smoothSolver	9.97129300e-02	5.64308540e-04	4	9.95760020e-02	5.63811710e-04	4	6.14210590e-02	2.62451350e-04	4	false	smoothSolver	3.55394030e-02	3.24840170e-04	3	true	smoothSolver	7.04452330e-03	2.10695000e-05	4	true	GAMG	2.41309540e-01	1.76393680e-03	6	true
24              	smoothSolver	9.91097550e-02	4.82614190e-04	4	9.90948690e-02	4.84359680e-04	4	6.56466820e-02	2.45489470e-04	4	false	smoothSolver	3.79573940e-02	3.43707040e-04	3	true	smoothSolver	6.20486190e-03	1.86441740e-05	4	true	GAMG	2.35441700e-01	2.02321740e-03	6	true
