# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	9.71813141e-01	4.86643802e-01	4.85169339e-01	-1.80148404e-02	-3.07993884e-03	-1.49349015e-02	5.92748135e-03	7.37231409e-04	-5.42849607e-03	3.16768277e-03	-3.84465469e-03	7.01233746e-03
20              	2.09583559e+00	1.04929868e+00	1.04653690e+00	-2.52726334e-03	-6.82233692e-03	4.29507358e-03	-5.55870525e-03	1.38089059e-03	3.33810887e-04	-9.74407094e-03	-4.53822458e-03	-5.20584636e-03
30              	5.33960829e-01	2.66848832e-01	2.67111997e-01	-1.93294618e-03	-1.89823210e-03	-3.47140785e-05	-9.31759013e-04	-1.31582633e-04	-2.10837332e-03	1.92954336e-03	-1.14360164e-03	3.07314500e-03
40              	8.44754717e-01	4.23743996e-01	4.21010721e-01	-1.01587677e-02	-2.62250424e-03	-7.53626348e-03	2.45687962e-03	1.36663716e-03	1.70470625e-03	1.13928243e-02	7.40111839e-03	3.99170589e-03
50              	7.82699911e-01	3.90142111e-01	3.92557800e-01	-1.22093925e-02	-4.48078145e-03	-7.72861105e-03	1.62391480e-03	-1.20784425e-03	1.63007038e-03	4.75901702e-03	4.00957889e-03	7.49438126e-04
60              	8.12548490e-01	4.05445298e-01	4.07103193e-01	-1.37578891e-02	-4.19763582e-03	-9.56025332e-03	2.68130875e-03	-8.28947424e-04	-5.15245388e-04	1.94514054e-03	4.57324881e-04	1.48781566e-03
70              	8.34159900e-01	4.17173689e-01	4.16986211e-01	-1.42722271e-02	-4.84772553e-03	-9.42450159e-03	2.28838803e-03	9.37387235e-05	-8.65985840e-04	2.17212792e-03	2.20078121e-04	1.95204980e-03
80              	8.62608829e-01	4.31178990e-01	4.31429838e-01	-1.26041355e-02	-3.95088616e-03	-8.65324930e-03	2.35118157e-03	-1.25424018e-04	5.52853956e-04	2.19906279e-04	6.62807095e-04	-4.42900816e-04
90              	8.57105627e-01	4.28576350e-01	4.28529277e-01	-1.20147689e-02	-3.13954107e-03	-8.87522779e-03	2.86784336e-03	2.35366115e-05	1.22150408e-03	-2.52371506e-04	1.09531833e-03	-1.34768983e-03
100             	8.78746847e-01	4.39467450e-01	4.39279397e-01	-1.26778921e-02	-3.05000224e-03	-9.62788989e-03	3.28894382e-03	9.40264467e-05	1.67359538e-03	-6.16351709e-05	1.64277779e-03	-1.70441296e-03
110             	8.84320776e-01	4.42329560e-01	4.41991216e-01	-1.32848828e-02	-3.10503635e-03	-1.01798464e-02	3.53740504e-03	1.69171785e-04	1.95977480e-03	-2.05614018e-04	1.85696779e-03	-2.06258181e-03
120             	8.90844591e-01	4.45673621e-01	4.45170970e-01	-1.40311488e-02	-3.43707980e-03	-1.05940690e-02	3.57849459e-03	2.51325858e-04	1.74092540e-03	-4.67522949e-05	1.71754925e-03	-1.76430154e-03
130             	9.00530133e-01	4.50486508e-01	4.50043624e-01	-1.49413150e-02	-3.79591990e-03	-1.11453951e-02	3.67473759e-03	2.21441955e-04	1.37024918e-03	-2.76404683e-04	1.23204684e-03	-1.50845152e-03
140             	9.08947620e-01	4.54670921e-01	4.54276699e-01	-1.59597285e-02	-4.19016460e-03	-1.17695639e-02	3.78969968e-03	1.97111276e-04	1.18937292e-03	-7.19885245e-04	8.29430300e-04	-1.54931554e-03
150             	9.18166974e-01	4.59265097e-01	4.58901877e-01	-1.71709867e-02	-4.70687675e-03	-1.24641099e-02	3.87861659e-03	1.81610124e-04	1.03050937e-03	-1.04118748e-03	5.09915632e-04	-1.55110312e-03
160             	9.26624451e-01	4.63419476e-01	4.63204975e-01	-1.83844500e-02	-5.26689494e-03	-1.31175551e-02	3.92533008e-03	1.07250719e-04	7.89795045e-04	-1.45088987e-03	6.43501100e-05	-1.51523998e-03
170             	9.34415139e-01	4.67235857e-01	4.67179282e-01	-1.95070816e-02	-5.79252712e-03	-1.37145544e-02	3.96101366e-03	2.82873428e-05	5.53178730e-04	-1.80655699e-03	-3.50099767e-04	-1.45645723e-03
180             	9.42913624e-01	4.71432576e-01	4.71481048e-01	-2.04659626e-02	-6.20662802e-03	-1.42593345e-02	4.02635325e-03	-2.42362671e-05	3.54031969e-04	-2.02013923e-03	-6.56037649e-04	-1.36410159e-03
190             	9.51405990e-01	4.75651078e-01	4.75754912e-01	-2.12772583e-02	-6.53044082e-03	-1.47468175e-02	4.10818833e-03	-5.19165855e-05	1.88223752e-04	-2.17796848e-03	-9.00760488e-04	-1.27720799e-03
200             	9.59834207e-01	4.79860360e-01	4.79973847e-01	-2.19179245e-02	-6.75331626e-03	-1.51646083e-02	4.20564600e-03	-5.67431973e-05	3.13461661e-05	-2.37640037e-03	-1.15685402e-03	-1.21954635e-03
210             	9.68450080e-01	4.84170207e-01	4.84279872e-01	-2.25314927e-02	-6.94083167e-03	-1.55906610e-02	4.32491468e-03	-5.48324698e-05	-1.13807380e-04	-2.55065731e-03	-1.38913604e-03	-1.16152128e-03
220             	9.77198039e-01	4.88539407e-01	4.88658632e-01	-2.33146822e-02	-7.20021369e-03	-1.61144685e-02	4.45712742e-03	-5.96129340e-05	-2.49878031e-04	-2.71015985e-03	-1.60495796e-03	-1.10520189e-03
230             	9.86203039e-01	4.93036794e-01	4.93166245e-01	-2.39898309e-02	-7.41791320e-03	-1.65719177e-02	4.57700225e-03	-6.47258027e-05	-3.77180046e-04	-2.94200961e-03	-1.84818485e-03	-1.09382476e-03
240             	9.95304213e-01	4.97566539e-01	4.97737674e-01	-2.45987871e-02	-7.57374054e-03	-1.70250466e-02	4.72565302e-03	-8.55673034e-05	-5.20527676e-04	-3.29846313e-03	-2.16975924e-03	-1.12870389e-03
250             	1.00433539e+00	5.02057013e-01	5.02278378e-01	-2.52010219e-02	-7.73330056e-03	-1.74677214e-02	4.86721041e-03	-1.10682579e-04	-6.67157783e-04	-3.61715423e-03	-2.47573490e-03	-1.14141933e-03
260             	1.01341582e+00	5.06588263e-01	5.06827554e-01	-2.57928919e-02	-7.86491154e-03	-1.79279804e-02	5.03153441e-03	-1.19645082e-04	-8.16185832e-04	-3.97997846e-03	-2.80617506e-03	-1.17380340e-03
270             	1.02260042e+00	5.11186659e-01	5.11413757e-01	-2.65436272e-02	-8.06139052e-03	-1.84822367e-02	5.21042310e-03	-1.13549126e-04	-9.78561769e-04	-4.50927114e-03	-3.23319734e-03	-1.27607380e-03
280             	1.03191067e+00	5.15851244e-01	5.16059424e-01	-2.74063721e-02	-8.33218194e-03	-1.90741901e-02	5.37100410e-03	-1.04089610e-04	-1.14614997e-03	-5.06557892e-03	-3.67893943e-03	-1.38663950e-03
290             	1.04130928e+00	5.20567481e-01	5.20741797e-01	-2.82859397e-02	-8.61888251e-03	-1.96670571e-02	5.52408732e-03	-8.71578319e-05	-1.31951861e-03	-5.68043735e-03	-4.15973729e-03	-1.52070007e-03
300             	1.05077716e+00	5.25318883e-01	5.25458279e-01	-2.92552208e-02	-8.94466450e-03	-2.03105563e-02	5.68294593e-03	-6.96981861e-05	-1.48498077e-03	-6.23418935e-03	-4.60207545e-03	-1.63211390e-03
310             	1.06028846e+00	5.30088897e-01	5.30199559e-01	-3.02121286e-02	-9.27891456e-03	-2.09332141e-02	5.82714976e-03	-5.53307101e-05	-1.64115138e-03	-6.66123649e-03	-4.97176963e-03	-1.68946686e-03
320             	1.06992262e+00	5.34914463e-01	5.35008155e-01	-3.11220949e-02	-9.60018237e-03	-2.15219125e-02	5.96086508e-03	-4.68463041e-05	-1.80170784e-03	-7.07195153e-03	-5.33768361e-03	-1.73426792e-03
330             	1.07964999e+00	5.39780312e-01	5.39869677e-01	-3.20836886e-02	-9.94892750e-03	-2.21347611e-02	6.09291679e-03	-4.46824837e-05	-1.96372454e-03	-7.55336686e-03	-5.74040797e-03	-1.81295888e-03
340             	1.08945482e+00	5.44688433e-01	5.44766391e-01	-3.31287537e-02	-1.03561678e-02	-2.27725859e-02	6.20820909e-03	-3.89787055e-05	-2.11994732e-03	-8.10114327e-03	-6.17051895e-03	-1.93062431e-03
350             	1.09934474e+00	5.49644216e-01	5.49700528e-01	-3.39909579e-02	-1.06867833e-02	-2.33041745e-02	6.30869561e-03	-2.81558808e-05	-2.26322486e-03	-8.87669548e-03	-6.70157260e-03	-2.17512288e-03
360             	1.10939335e+00	5.54683271e-01	5.54710083e-01	-3.45945461e-02	-1.08778105e-02	-2.37167356e-02	6.41946257e-03	-1.34058714e-05	-2.37887550e-03	-9.74342958e-03	-7.25059030e-03	-2.49283929e-03
370             	1.11957927e+00	5.59774900e-01	5.59804373e-01	-3.52455556e-02	-1.10970236e-02	-2.41485320e-02	6.52575421e-03	-1.47360979e-05	-2.48581460e-03	-1.03358341e-02	-7.65373163e-03	-2.68210244e-03
380             	1.12989939e+00	5.64917497e-01	5.64981897e-01	-3.62239650e-02	-1.15031233e-02	-2.47208417e-02	6.60885919e-03	-3.21998589e-05	-2.60165670e-03	-1.07009073e-02	-7.95211035e-03	-2.74879694e-03
