# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               3.28552024e-03 1.23940504e-03 1.58960871e-01 3.41048681e-03 1.21477567e-03 1.39474195e-01 -1.24966572e-04 2.46293684e-05 1.94866760e-02
20               1.88755272e-03 1.16554730e-04 3.43964430e-01 1.81988803e-03 8.94532952e-05 3.36070511e-01 6.76646894e-05 2.71014350e-05 7.89391838e-03
30               1.27120436e-03 3.88151946e-04 8.85953893e-02 1.24138248e-03 3.39741875e-04 8.07227325e-02 2.98218833e-05 4.84100711e-05 7.87265682e-03
40               1.02334617e-03 1.54380081e-03 1.38099943e-01 1.02416392e-03 1.53680854e-03 1.29767312e-01 -8.17750789e-07 6.99226779e-06 8.33263150e-03
50               1.55958399e-03 1.22611675e-03 1.27442900e-01 1.55673743e-03 1.21605335e-03 1.19138288e-01 2.84655391e-06 1.00634009e-05 8.30461150e-03
60               2.29116138e-03 1.52413436e-03 1.32458560e-01 2.28265033e-03 1.50732455e-03 1.24072145e-01 8.51104334e-06 1.68098187e-05 8.38641516e-03
70               2.24030630e-03 1.62785354e-03 1.36356820e-01 2.22468998e-03 1.60410257e-03 1.28162513e-01 1.56163196e-05 2.37509775e-05 8.19430667e-03
80               2.11318072e-03 1.72100971e-03 1.41313560e-01 2.09019614e-03 1.68823960e-03 1.33092242e-01 2.29845868e-05 3.27701077e-05 8.22131866e-03
90               1.90537502e-03 1.65787069e-03 1.40741038e-01 1.88169562e-03 1.61822379e-03 1.32537846e-01 2.36793991e-05 3.96468955e-05 8.20319191e-03
100              1.78590753e-03 1.61941396e-03 1.44733580e-01 1.76114785e-03 1.57536070e-03 1.36484855e-01 2.47596817e-05 4.40532603e-05 8.24872483e-03
110              1.75739445e-03 1.47629054e-03 1.45707247e-01 1.72923780e-03 1.43103890e-03 1.37426872e-01 2.81566496e-05 4.52516418e-05 8.28037527e-03
120              1.68453798e-03 1.46115507e-03 1.47046078e-01 1.65458426e-03 1.41380252e-03 1.38713249e-01 2.99537185e-05 4.73525532e-05 8.33282910e-03
130              1.61200661e-03 1.48583091e-03 1.48628762e-01 1.58020529e-03 1.43724119e-03 1.40246421e-01 3.18013202e-05 4.85897129e-05 8.38234115e-03
140              1.60427686e-03 1.54117241e-03 1.50210262e-01 1.57054470e-03 1.49132100e-03 1.41775280e-01 3.37321566e-05 4.98514126e-05 8.43498146e-03
150              1.65840663e-03 1.62120803e-03 1.51810077e-01 1.62249312e-03 1.56988746e-03 1.43319868e-01 3.59135067e-05 5.13205745e-05 8.49020930e-03
160              1.75730295e-03 1.71498109e-03 1.53206419e-01 1.72032407e-03 1.66125526e-03 1.44661708e-01 3.69788789e-05 5.37258379e-05 8.54471166e-03
170              1.90297345e-03 1.78249326e-03 1.54577709e-01 1.86500275e-03 1.72698674e-03 1.45979954e-01 3.79706949e-05 5.55065199e-05 8.59775500e-03
180              2.04181493e-03 1.84358031e-03 1.56071628e-01 2.00264136e-03 1.78716078e-03 1.47421314e-01 3.91735695e-05 5.64195373e-05 8.65031455e-03
190              2.15982921e-03 1.90580550e-03 1.57536579e-01 2.11938309e-03 1.84844028e-03 1.48834396e-01 4.04461233e-05 5.73652241e-05 8.70218314e-03
200              2.26063603e-03 1.96445723e-03 1.58996143e-01 2.21910050e-03 1.90594819e-03 1.50244462e-01 4.15355306e-05 5.85090405e-05 8.75168140e-03
210              2.35976123e-03 2.01052820e-03 1.60468122e-01 2.31729020e-03 1.95153952e-03 1.51668003e-01 4.24710375e-05 5.89886843e-05 8.80011976e-03
220              2.44636294e-03 2.07899986e-03 1.61950443e-01 2.40361546e-03 2.02029290e-03 1.53103447e-01 4.27474820e-05 5.87069531e-05 8.84699604e-03
230              2.51716628e-03 2.17167273e-03 1.63436548e-01 2.47399541e-03 2.11296380e-03 1.54541705e-01 4.31708675e-05 5.87089335e-05 8.89484298e-03
240              2.58610061e-03 2.25476312e-03 1.64936336e-01 2.54214395e-03 2.19535526e-03 1.55993697e-01 4.39566639e-05 5.94078599e-05 8.94263872e-03
250              2.65787935e-03 2.33393247e-03 1.66457272e-01 2.61292457e-03 2.27345265e-03 1.57467952e-01 4.49547843e-05 6.04798196e-05 8.98932009e-03
260              2.71208920e-03 2.41822456e-03 1.67997726e-01 2.66614822e-03 2.35667469e-03 1.58961536e-01 4.59409721e-05 6.15498719e-05 9.03619004e-03
270              2.75088388e-03 2.49434735e-03 1.69555119e-01 2.70392724e-03 2.43126354e-03 1.60470534e-01 4.69566428e-05 6.30838030e-05 9.08458493e-03
280              2.82002557e-03 2.53614164e-03 1.71115445e-01 2.77185435e-03 2.47131916e-03 1.61982311e-01 4.81712236e-05 6.48224766e-05 9.13313451e-03
290              2.90975496e-03 2.57991999e-03 1.72686362e-01 2.86035609e-03 2.51343289e-03 1.63505193e-01 4.93988681e-05 6.64871009e-05 9.18116850e-03
300              3.02988334e-03 2.63004244e-03 1.74265717e-01 2.97955517e-03 2.56208969e-03 1.65037136e-01 5.03281734e-05 6.79527495e-05 9.22858073e-03
310              3.16271125e-03 2.69027680e-03 1.75841205e-01 3.11125028e-03 2.62161930e-03 1.66565006e-01 5.14609636e-05 6.86574976e-05 9.27619923e-03
320              3.25145825e-03 2.78770429e-03 1.77408738e-01 3.19838965e-03 2.71839320e-03 1.68083564e-01 5.30686049e-05 6.93110843e-05 9.32517491e-03
330              3.33224206e-03 2.87217606e-03 1.78991856e-01 3.27768673e-03 2.80118004e-03 1.69617991e-01 5.45553296e-05 7.09960142e-05 9.37386452e-03
340              3.46453576e-03 2.89884375e-03 1.80592962e-01 3.40824330e-03 2.82673960e-03 1.71170535e-01 5.62924682e-05 7.21041504e-05 9.42242693e-03
350              3.62664773e-03 2.90417230e-03 1.82212582e-01 3.56885047e-03 2.83085256e-03 1.72741821e-01 5.77972615e-05 7.33197413e-05 9.47076063e-03
360              3.82051879e-03 2.90612601e-03 1.83843999e-01 3.76155680e-03 2.83224460e-03 1.74326377e-01 5.89619904e-05 7.38814129e-05 9.51762207e-03
370              4.02084584e-03 2.93594406e-03 1.85505296e-01 3.96010727e-03 2.86100219e-03 1.75938794e-01 6.07385720e-05 7.49418625e-05 9.56650221e-03
380              4.22847728e-03 2.94075630e-03 1.87187490e-01 4.16617499e-03 2.86439401e-03 1.77571715e-01 6.23022877e-05 7.63622834e-05 9.61577496e-03
390              4.42962937e-03 2.93524516e-03 1.88869284e-01 4.36556112e-03 2.85742254e-03 1.79203706e-01 6.40682498e-05 7.78226139e-05 9.66557758e-03
400              4.63880077e-03 2.91426733e-03 1.90564218e-01 4.57251313e-03 2.83449189e-03 1.80848237e-01 6.62876398e-05 7.97754427e-05 9.71598050e-03
410              4.83767955e-03 2.90106268e-03 1.92255720e-01 4.76832719e-03 2.81931598e-03 1.82488414e-01 6.93523627e-05 8.17466945e-05 9.76730615e-03
420              5.01661432e-03 2.90766795e-03 1.93950229e-01 4.94376421e-03 2.82430076e-03 1.84132102e-01 7.28501128e-05 8.33671877e-05 9.81812696e-03
430              5.17796470e-03 2.94374266e-03 1.95663711e-01 5.10201592e-03 2.85876583e-03 1.85795155e-01 7.59487785e-05 8.49768289e-05 9.86855532e-03
440              5.33744979e-03 2.99262216e-03 1.97399247e-01 5.25875229e-03 2.90653347e-03 1.87480255e-01 7.86974974e-05 8.60886981e-05 9.91899196e-03
450              5.53708788e-03 3.01078000e-03 1.99147831e-01 5.45549693e-03 2.92297119e-03 1.89177863e-01 8.15909547e-05 8.78088093e-05 9.96996770e-03
460              5.73851719e-03 3.03594584e-03 2.00927108e-01 5.65387734e-03 2.94611341e-03 1.90906021e-01 8.46398591e-05 8.98324268e-05 1.00210873e-02
470              5.94845589e-03 3.06438961e-03 2.02730051e-01 5.86100558e-03 2.97250609e-03 1.92658103e-01 8.74503064e-05 9.18835116e-05 1.00719477e-02
480              6.14065848e-03 3.10715640e-03 2.04544199e-01 6.04996974e-03 3.01317784e-03 1.94420268e-01 9.06887418e-05 9.39785663e-05 1.01239309e-02
490              6.34595253e-03 3.13908315e-03 2.06378505e-01 6.25222447e-03 3.04279439e-03 1.96202834e-01 9.37280597e-05 9.62887557e-05 1.01756704e-02
