# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               2.39744415e-05 3.97046516e-05 4.80031324e-06 2.23918987e-05 3.94730864e-05 4.74861793e-06 1.58254283e-06 2.31565259e-07 5.16953110e-08
20               -3.58309350e-06 -4.41915179e-05 8.25466985e-06 -3.67424597e-06 -4.43264280e-05 8.53072716e-06 9.11524771e-08 1.34910116e-07 -2.76057303e-07
30               9.30649374e-06 -1.91614134e-05 -1.05426288e-07 9.81966772e-06 -1.85230763e-05 6.56185169e-07 -5.13173978e-07 -6.38337130e-07 -7.61611457e-07
40               -2.02361287e-07 1.06344021e-05 -2.90798711e-06 2.89578246e-08 1.10808697e-05 -2.74747478e-06 -2.31319112e-07 -4.46467570e-07 -1.60512327e-07
50               1.57101763e-06 8.37250619e-06 -7.69674286e-06 1.64924465e-06 8.67143571e-06 -7.77264113e-06 -7.82270189e-08 -2.98929522e-07 7.58982745e-08
60               1.30549055e-05 4.61070396e-06 1.93524857e-06 1.30521709e-05 5.01626869e-06 1.92230797e-06 2.73458016e-09 -4.05564727e-07 1.29406015e-08
70               8.86854266e-06 -3.34399849e-06 3.95668501e-07 8.70106797e-06 -3.24284131e-06 4.51177527e-07 1.67474696e-07 -1.01157187e-07 -5.55090256e-08
80               2.16995037e-06 -7.55693633e-06 -2.24661730e-07 2.05648012e-06 -7.52521056e-06 -1.65347616e-07 1.13470242e-07 -3.17257713e-08 -5.93141136e-08
90               1.86907546e-06 -1.32877302e-05 -2.04081272e-07 1.76583429e-06 -1.32338870e-05 -1.65355349e-07 1.03241165e-07 -5.38431804e-08 -3.87259227e-08
100              1.70287573e-06 -1.51239475e-05 2.84971472e-07 1.61198028e-06 -1.50715666e-05 3.00245529e-07 9.08954530e-08 -5.23809312e-08 -1.52740573e-08
110              1.78888823e-06 -1.40045609e-05 1.07489532e-06 1.71020320e-06 -1.39776920e-05 1.08308874e-06 7.86850321e-08 -2.68688817e-08 -8.19342432e-09
120              2.91451385e-06 -1.28957114e-05 1.16636371e-06 2.86264309e-06 -1.28810960e-05 1.15496777e-06 5.18707624e-08 -1.46153728e-08 1.13959460e-08
130              3.76374896e-06 -1.19102816e-05 9.13670755e-07 3.71870279e-06 -1.19064564e-05 8.83170426e-07 4.50461704e-08 -3.82516471e-09 3.05003291e-08
140              3.71176668e-06 -1.04145170e-05 7.83395540e-07 3.66175869e-06 -1.04422179e-05 7.45553864e-07 5.00079820e-08 2.77009111e-08 3.78416765e-08
150              3.47460070e-06 -8.81039814e-06 6.46770048e-07 3.42302601e-06 -8.87054512e-06 6.03487139e-07 5.15746983e-08 6.01469780e-08 4.32829097e-08
160              3.37983493e-06 -7.56473274e-06 5.39416861e-07 3.32815035e-06 -7.65364421e-06 4.94802198e-07 5.16845769e-08 8.89114652e-08 4.46146635e-08
170              3.31927117e-06 -6.56299307e-06 6.99381567e-07 3.26188929e-06 -6.66982709e-06 6.56995295e-07 5.73818796e-08 1.06834022e-07 4.23862721e-08
