# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -1.10981408e-06 -3.38306392e-06 -4.12939967e-07 -9.70788818e-07 -3.34265613e-06 -4.98862058e-07 -1.39025261e-07 -4.04077970e-08 8.59220905e-08
20               8.85985177e-06 -8.71453965e-07 -2.62637787e-06 9.12366403e-06 -8.86479129e-07 -2.76433808e-06 -2.63812253e-07 1.50251632e-08 1.37960211e-07
30               2.99022986e-05 2.47231816e-06 4.64341336e-06 3.00751293e-05 2.39670511e-06 4.49417312e-06 -1.72830682e-07 7.56130484e-08 1.49240241e-07
40               3.16634139e-05 1.01555378e-06 -9.21173370e-08 3.16064229e-05 9.59632753e-07 -2.19524317e-07 5.69909831e-08 5.59210303e-08 1.27406980e-07
50               2.11232204e-05 -9.55659645e-07 5.96198049e-07 2.09093961e-05 -9.29326680e-07 6.45875468e-07 2.13824265e-07 -2.63329655e-08 -4.96774185e-08
60               9.00050042e-06 -2.70790176e-08 6.02761576e-07 9.30261848e-06 -1.88047798e-08 6.52839534e-07 -3.02118057e-07 -8.27423780e-09 -5.00779588e-08
70               1.99638793e-05 4.15505304e-08 5.81727270e-08 1.99251034e-05 5.16600834e-08 3.55945975e-07 3.87758845e-08 -1.01095530e-08 -2.97773248e-07
80               9.39661552e-06 3.64023114e-08 1.19230024e-06 9.61038266e-06 1.97529868e-08 9.66085390e-07 -2.13767138e-07 1.66493246e-08 2.26214854e-07
90               2.58334012e-05 -1.15004671e-06 9.04109948e-07 2.53821374e-05 -1.14200803e-06 4.33768219e-07 4.51263742e-07 -8.03867930e-09 4.70341729e-07
100              1.86014858e-05 -8.01168185e-07 8.98768582e-07 1.82150955e-05 -8.09928240e-07 6.52785673e-07 3.86390259e-07 8.76005553e-09 2.45982909e-07
110              1.42382968e-05 -2.08672443e-06 5.23400548e-07 1.38017089e-05 -2.01668879e-06 5.07868697e-07 4.36587950e-07 -7.00356476e-08 1.55318514e-08
120              2.18968344e-05 1.08818081e-06 3.13288659e-07 2.13562240e-05 1.07303198e-06 2.88846563e-07 5.40610411e-07 1.51488275e-08 2.44420954e-08
130              2.06346432e-05 2.01723251e-06 2.78360464e-07 2.00517016e-05 2.01810022e-06 1.97560457e-07 5.82941599e-07 -8.67707701e-10 8.08000069e-08
140              1.83127656e-05 1.84271986e-06 1.67162021e-07 1.77568408e-05 1.81148810e-06 1.14014470e-07 5.55924774e-07 3.12317598e-08 5.31475509e-08
150              1.60233076e-05 4.21995288e-07 1.30024183e-07 1.55208309e-05 4.22659389e-07 7.98653827e-08 5.02476671e-07 -6.64101505e-10 5.01588007e-08
160              1.60146863e-05 -4.93171396e-07 6.63855090e-08 1.56715681e-05 -4.67583015e-07 2.56735844e-08 3.43118175e-07 -2.55883806e-08 4.07119246e-08
