# Force and moment coefficients
# dragDir       : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-7.07106781e-01 0.00000000e+00 7.07106781e-01)
# rollAxis      : (7.07106781e-01 0.00000000e+00 7.07106781e-01)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-7.07106781e-01 0.00000000e+00 7.07106781e-01)
# magUInf       : 1.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	2.34347007e-01	1.17202353e-01	1.17144653e-01	2.23437304e-04	-4.87811718e-02	4.90046091e-02	-4.88928905e-02	2.88501294e-05	3.41123187e-04	2.76262887e-03	1.72243762e-03	1.04019125e-03
20              	1.38410993e+00	6.91473680e-01	6.92636255e-01	3.12351479e-01	1.76528688e-01	1.35822792e-01	2.03529480e-02	-5.81287432e-04	-2.27493879e-04	2.28063389e-03	9.12823064e-04	1.36781082e-03
30              	7.06654025e-01	3.52567222e-01	3.54086804e-01	8.48206225e-02	5.44152818e-02	3.04053407e-02	1.20049706e-02	-7.59790925e-04	-2.67635086e-04	3.89363570e-03	1.67918277e-03	2.21445294e-03
40              	5.73924141e-01	2.85291386e-01	2.88632755e-01	2.63289304e-01	1.12636317e-01	1.50652986e-01	-1.90083347e-02	-1.67068432e-03	2.84711340e-04	3.53461510e-03	2.05201889e-03	1.48259621e-03
50              	5.42107331e-01	2.69620442e-01	2.72486889e-01	3.60111965e-01	1.69993322e-01	1.90118643e-01	-1.00626601e-02	-1.43322377e-03	-2.59417499e-04	5.19012992e-03	2.33564746e-03	2.85448246e-03
60              	5.09237091e-01	2.54543943e-01	2.54693148e-01	3.58443859e-01	1.64492493e-01	1.93951366e-01	-1.47294366e-02	-7.46022030e-05	-4.03832608e-04	1.30476345e-03	2.48549114e-04	1.05621433e-03
70              	5.10198217e-01	2.54820057e-01	2.55378160e-01	4.51793490e-01	2.10210316e-01	2.41583174e-01	-1.56864289e-02	-2.79051133e-04	-5.65873313e-05	1.34961918e-03	6.18222260e-04	7.31396923e-04
80              	5.13707575e-01	2.56462946e-01	2.57244629e-01	4.46974807e-01	2.11367909e-01	2.35606898e-01	-1.21194946e-02	-3.90841592e-04	-1.85070928e-04	9.70919198e-04	3.00388671e-04	6.70530527e-04
90              	5.10691709e-01	2.54931864e-01	2.55759845e-01	4.65104864e-01	2.19144132e-01	2.45960732e-01	-1.34083000e-02	-4.13990644e-04	1.18376292e-04	1.13127169e-03	6.84012137e-04	4.47259553e-04
100             	5.19260763e-01	2.59256102e-01	2.60004661e-01	5.03846646e-01	2.37776747e-01	2.66069899e-01	-1.41465758e-02	-3.74279377e-04	7.04678377e-05	2.04817118e-03	1.09455343e-03	9.53617751e-04
