# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	9.99999990e-01	8.28331380e-03	5	1.00000000e+00	6.94278100e-03	5	9.99999990e-01	8.32918460e-03	5	false	smoothSolver	1.00000000e+00	7.23487540e-03	5	true	smoothSolver	9.54652400e-02	4.20038970e-04	4	true	GAMG	1.00000000e+00	7.09801990e-03	10	true
2               	smoothSolver	5.61123210e-01	2.38285540e-03	5	8.07660800e-01	3.36381900e-03	5	5.32652050e-01	2.51036690e-03	5	false	smoothSolver	4.71604710e-01	2.83958590e-03	4	true	smoothSolver	2.02858870e-02	9.09503260e-05	4	true	GAMG	3.70280360e-01	3.06087830e-03	6	true
3               	smoothSolver	6.78077480e-02	2.10837380e-04	5	3.43479070e-01	3.38587510e-03	4	5.75033920e-02	1.90554020e-04	5	false	smoothSolver	6.57174830e-02	3.06497900e-04	4	true	smoothSolver	2.20201110e-02	9.11598720e-05	4	true	GAMG	5.42558400e-01	2.85249630e-03	7	true
4               	smoothSolver	2.79885420e-02	2.26133980e-04	4	1.68203880e-01	1.36539370e-03	4	2.33759350e-02	1.98730500e-04	4	false	smoothSolver	3.85354040e-02	1.62338770e-04	4	true	smoothSolver	1.57809550e-02	7.71636320e-05	4	true	GAMG	6.14388820e-01	5.62669230e-03	6	true
5               	smoothSolver	1.86461880e-02	9.03708930e-05	4	1.16764130e-01	5.70306850e-04	4	1.67849510e-02	9.03239420e-05	4	false	smoothSolver	2.26546330e-02	8.81053980e-05	4	true	smoothSolver	1.09347670e-02	4.73108490e-05	4	true	GAMG	5.43742100e-01	4.43859490e-03	6	true
6               	smoothSolver	2.01798160e-02	1.14621370e-04	4	1.32831360e-01	7.37753710e-04	4	1.96626510e-02	1.25010170e-04	4	false	smoothSolver	1.52136380e-02	4.64649540e-05	4	true	smoothSolver	9.55610840e-03	2.94643330e-05	4	true	GAMG	3.87110810e-01	2.42092890e-03	6	true
7               	smoothSolver	2.59252600e-02	1.57857870e-04	4	1.66271590e-01	9.61619150e-04	4	2.59995350e-02	1.80074200e-04	4	false	smoothSolver	1.34492130e-02	3.46454410e-05	4	true	smoothSolver	8.55015350e-03	2.36895520e-05	4	true	GAMG	2.86930710e-01	1.97922000e-03	6	true
8               	smoothSolver	2.72014090e-02	1.61740200e-04	4	1.60594040e-01	9.03659400e-04	4	2.90893860e-02	1.96015240e-04	4	false	smoothSolver	1.24885920e-02	3.36403270e-05	4	true	smoothSolver	6.74914750e-03	1.96786510e-05	4	true	GAMG	3.11054890e-01	2.32258350e-03	6	true
9               	smoothSolver	2.41350330e-02	1.29981930e-04	4	1.28291260e-01	6.62184040e-04	4	2.88960540e-02	1.75349740e-04	4	false	smoothSolver	1.10348380e-02	3.17772180e-05	4	true	smoothSolver	5.40409460e-03	1.54460930e-05	4	true	GAMG	4.11184130e-01	2.08601670e-03	6	true
10              	smoothSolver	1.83354940e-02	9.01217920e-05	4	9.10229020e-02	4.37007660e-04	4	2.51352770e-02	1.36677010e-04	4	false	smoothSolver	9.30952690e-03	2.95314370e-05	4	true	smoothSolver	5.46494070e-03	5.22941040e-05	3	true	GAMG	4.15252530e-01	3.42338850e-03	5	true
