# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	-3.44779372e-01	-1.72460877e-01	-1.72318495e-01	-1.68231671e-03	-8.65758862e-04	-8.16557847e-04	-2.46005072e-05	-7.11910859e-05	-2.50025247e-04	5.27722499e-04	1.38360026e-05	5.13886496e-04
20              	6.76563108e-01	3.38833375e-01	3.37729733e-01	-1.02844122e-03	-7.95811689e-04	-2.32629527e-04	-2.81591081e-04	5.51820784e-04	-1.01529802e-04	-9.86360276e-04	-5.94709940e-04	-3.91650336e-04
30              	3.11801091e-01	1.56065738e-01	1.55735353e-01	-3.07841252e-04	-2.12379623e-04	-9.54616289e-05	-5.84589971e-05	1.65192290e-04	-2.29783885e-05	-2.89287430e-04	-1.67622104e-04	-1.21665327e-04
40              	1.87628943e-01	9.24329326e-02	9.51960101e-02	2.41113447e-03	1.41977096e-03	9.91363507e-04	2.14203728e-04	-1.38153876e-03	8.01067860e-05	3.77916940e-06	8.19963707e-05	-7.82172013e-05
50              	1.70557255e-01	8.48279982e-02	8.57292570e-02	1.02879954e-03	1.69961500e-04	8.58838036e-04	-3.44438268e-04	-4.50629415e-04	8.30585127e-05	2.01897231e-04	1.84007128e-04	1.78901030e-05
60              	1.36628601e-01	6.80525080e-02	6.85760927e-02	-6.03296582e-04	-6.30951924e-04	2.76553419e-05	-3.29303633e-04	-2.61792329e-04	9.61343609e-05	2.79821160e-04	2.36044941e-04	4.37762190e-05
70              	1.13371587e-01	5.63147668e-02	5.70568197e-02	1.40195942e-04	-2.21267403e-04	3.61463345e-04	-2.91365374e-04	-3.71026475e-04	1.61230297e-05	-4.72899637e-04	-2.20326789e-04	-2.52572848e-04
80              	1.19879075e-01	5.98765217e-02	6.00025536e-02	-3.30399972e-04	-7.70376931e-06	-3.22696203e-04	1.57496217e-04	-6.30159597e-05	3.31331329e-05	3.55977056e-04	2.11121661e-04	1.44855395e-04
90              	1.27651776e-01	6.29626256e-02	6.46891507e-02	-1.05644515e-03	-4.68657866e-04	-5.87787289e-04	5.95647116e-05	-8.63262504e-04	9.70816256e-05	1.06924804e-04	1.50544027e-04	-4.36192238e-05
100             	1.26891544e-01	6.33136880e-02	6.35778559e-02	-6.09761210e-04	-3.18785517e-04	-2.90975693e-04	-1.39049119e-05	-1.32083979e-04	-3.82929630e-06	4.00224397e-06	-1.82817432e-06	5.83041829e-06
110             	1.12720928e-01	5.58787826e-02	5.68421456e-02	-9.31078606e-04	-4.73442727e-04	-4.57635878e-04	-7.90342454e-06	-4.81681474e-04	-7.61575505e-05	1.89119384e-06	-7.52119535e-05	7.71031474e-05
120             	1.07111041e-01	5.35534320e-02	5.35576094e-02	-7.97311851e-04	-2.80823000e-04	-5.16488851e-04	1.17832925e-04	-2.08865604e-06	-9.87230143e-05	7.95337003e-05	-5.89561641e-05	1.38489864e-04
130             	1.06642961e-01	5.27336325e-02	5.39093286e-02	-7.12182193e-04	-2.74591213e-04	-4.37590980e-04	8.14998836e-05	-5.87848045e-04	-7.63701537e-05	-3.62315583e-05	-9.44859329e-05	5.82543746e-05
140             	1.04907959e-01	5.10756123e-02	5.38323470e-02	-5.49809396e-04	-2.81265188e-04	-2.68544207e-04	-6.36049037e-06	-1.37836738e-03	-7.82700455e-05	-1.37105312e-05	-8.51253111e-05	7.14147799e-05
150             	1.00525793e-01	4.83393769e-02	5.21864157e-02	5.26710249e-05	-2.60196097e-05	7.86906345e-05	-5.23551221e-05	-1.92351941e-03	-7.44772459e-05	-1.22257634e-05	-8.05901276e-05	6.83643642e-05
160             	9.61882883e-02	4.57867711e-02	5.04015172e-02	-1.37948840e-04	-2.37453137e-04	9.95042966e-05	-1.68478717e-04	-2.30737306e-03	-7.48498126e-05	2.11078655e-05	-6.42958798e-05	8.54037453e-05
170             	9.32125233e-02	4.44679526e-02	4.87445707e-02	4.32332975e-04	6.92067939e-05	3.63126181e-04	-1.46959694e-04	-2.13830902e-03	-7.69250706e-05	1.56583319e-05	-6.90959047e-05	8.47542366e-05
180             	9.11435796e-02	4.36303458e-02	4.75132338e-02	6.04620870e-04	1.55791720e-04	4.48829150e-04	-1.46518715e-04	-1.94144398e-03	-5.52931829e-05	5.57008217e-05	-2.74427721e-05	8.31435938e-05
190             	8.88719422e-02	4.18592363e-02	4.70127059e-02	8.96379952e-04	3.27756189e-04	5.68623763e-04	-1.20433787e-04	-2.57673482e-03	-2.81833819e-05	7.13099081e-05	7.47157216e-06	6.38383359e-05
200             	8.65787259e-02	3.97586020e-02	4.68201239e-02	1.35027587e-03	6.40542108e-04	7.09733767e-04	-3.45958295e-05	-3.53076093e-03	-1.36682545e-05	6.61981463e-05	1.94308186e-05	4.67673277e-05
210             	8.45765026e-02	3.78967421e-02	4.66797605e-02	1.03980256e-03	5.29010039e-04	5.10792523e-04	9.10875830e-06	-4.39150920e-03	1.07779151e-06	1.98789901e-05	1.10172866e-05	8.86170356e-06
220             	8.28775996e-02	3.66764063e-02	4.62011933e-02	1.98949763e-04	6.34401127e-05	1.35509650e-04	-3.60347686e-05	-4.76239353e-03	1.53110336e-05	-1.09857983e-05	9.81813440e-06	-2.08039327e-05
