# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
10               -2.26837798e-01 2.67691477e-04 -3.66538613e-04 -2.40652590e-01 2.76311729e-04 -3.72879394e-04 1.38147913e-02 -8.62025217e-06 6.34078088e-06
20               4.46528070e-01 -7.92697356e-04 1.79942813e-04 4.41264441e-01 -8.21938302e-04 1.60364470e-04 5.26362894e-03 2.92409452e-05 1.95783422e-05
30               2.05480309e-01 3.37644438e-04 -7.21655630e-05 1.97503212e-01 3.09070029e-04 -6.25070974e-05 7.97709631e-03 2.85744085e-05 -9.65846558e-06
40               1.23579031e-01 1.80420295e-05 7.12781091e-04 1.16129469e-01 -6.32195205e-06 7.19000267e-04 7.44956260e-03 2.43639816e-05 -6.21917622e-06
50               1.13198916e-01 1.93703749e-04 6.83385329e-04 1.05136033e-01 1.84677609e-04 6.77130892e-04 8.06288322e-03 9.02613937e-06 6.25443748e-06
60               9.03446509e-02 3.15077050e-04 -1.28433253e-05 8.12592823e-02 3.06279293e-04 -1.51905686e-05 9.08536856e-03 8.79775656e-06 2.34724333e-06
70               7.40446436e-02 -7.68051104e-04 2.08877877e-04 6.45521073e-02 -7.63486185e-04 2.09898689e-04 9.49253636e-03 -4.56491946e-06 -1.02081169e-06
80               7.84402398e-02 6.03245740e-04 3.77364008e-04 6.93000284e-02 5.97738690e-04 3.73620946e-04 9.14021131e-03 5.50705019e-06 3.74306227e-06
90               8.43629114e-02 2.20187505e-04 -6.75828167e-05 7.56585897e-02 2.43750533e-04 -7.22057073e-05 8.70432170e-03 -2.35630284e-05 4.62289068e-06
100              8.35370641e-02 -1.10788148e-04 -6.23493977e-05 7.53699218e-02 -1.15535332e-04 -6.64808673e-05 8.16714232e-03 4.74718472e-06 4.13146964e-06
110              7.38850163e-02 6.91831322e-05 -4.10470815e-04 6.57754797e-02 6.58644606e-05 -4.13401110e-04 8.10953652e-03 3.31867167e-06 2.93029525e-06
120              7.01303732e-02 1.49999232e-04 -3.37366542e-04 6.20633308e-02 1.54608538e-04 -3.38240123e-04 8.06704240e-03 -4.60930609e-06 8.73581019e-07
130              7.00705774e-02 -3.03900105e-05 -3.41320918e-04 6.21946333e-02 -1.65656547e-05 -3.41967772e-04 7.87594409e-03 -1.38243558e-05 6.46854222e-07
140              6.90932363e-02 -9.47179546e-05 -1.57555828e-04 6.13988476e-02 -8.46067451e-05 -1.56852673e-04 7.69438865e-03 -1.01112095e-05 -7.03154892e-07
150              6.61440532e-02 -6.05742334e-05 3.13985725e-04 5.85919954e-02 -5.06389434e-05 3.10838659e-04 7.55205778e-03 -9.93529002e-06 3.14706678e-06
160              6.33620843e-02 3.78631209e-05 1.41379559e-04 5.59690942e-02 4.88316141e-05 1.38928159e-04 7.39299009e-03 -1.09684932e-05 2.45139993e-06
