# Force and moment coefficients
# dragDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# rollAxis      : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-1.00000000e+00 0.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 4.00040000e-02
# Aref          : 3.21484300e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	1.01446676e+00	5.07506104e-01	5.06960657e-01	-1.77439314e-02	-2.62692958e-03	-1.51170018e-02	6.24503611e-03	2.72723596e-04	-5.18573071e-03	-5.10996054e-04	-5.44122874e-03	4.93023268e-03
20              	1.97493824e+00	9.88160188e-01	9.86778057e-01	-1.62834637e-02	-8.12101015e-03	-8.16245357e-03	2.07217091e-05	6.91065670e-04	1.47781820e-03	9.79883779e-04	1.96776009e-03	-9.87876311e-04
30              	4.60201248e-01	2.31224119e-01	2.28977129e-01	-9.83062925e-03	-4.71522704e-03	-5.11540220e-03	2.00087581e-04	1.12349476e-03	1.65307288e-03	7.40739169e-04	2.02344246e-03	-1.28270329e-03
40              	7.64571069e-01	3.83954497e-01	3.80616571e-01	-1.94836681e-03	-6.62844163e-04	-1.28552265e-03	3.11339242e-04	1.66896303e-03	2.08738670e-03	1.79171316e-03	2.98324328e-03	-1.19153013e-03
50              	7.22804207e-01	3.61652973e-01	3.61151234e-01	-8.91187918e-03	-6.12241546e-03	-2.78946373e-03	-1.66647587e-03	2.50869808e-04	-1.89638264e-03	-1.95494935e-02	-1.16711294e-02	-7.87836410e-03
60              	7.70751734e-01	3.83939819e-01	3.86811915e-01	-1.60182782e-02	-1.09859193e-02	-5.03235896e-03	-2.97678016e-03	-1.43604837e-03	-2.57352733e-03	-2.70439854e-02	-1.60955200e-02	-1.09484654e-02
70              	7.86278559e-01	3.92123766e-01	3.94154793e-01	-1.73867965e-02	-9.02936112e-03	-8.35743538e-03	-3.35962868e-04	-1.01551375e-03	-3.39444865e-03	-2.48306276e-02	-1.58097625e-02	-9.02086515e-03
80              	8.08364226e-01	4.03336496e-01	4.05027730e-01	-1.20076626e-02	-3.15421730e-03	-8.85344525e-03	2.84961397e-03	-8.45616732e-04	-4.73439168e-03	-2.22176596e-02	-1.58432215e-02	-6.37443814e-03
90              	7.97363843e-01	3.98398877e-01	3.98964966e-01	-5.65433255e-03	1.79706171e-03	-7.45139426e-03	4.62422799e-03	-2.83044165e-04	-5.85128455e-03	-1.98633667e-02	-1.57829679e-02	-4.08039878e-03
100             	8.14684215e-01	4.07503629e-01	4.07180586e-01	-3.12669287e-03	4.00717747e-03	-7.13387034e-03	5.57052390e-03	1.61521326e-04	-7.46977904e-03	-1.74469976e-02	-1.61932778e-02	-1.25371977e-03
